"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR3681502_1"	2398	2393	2393	2393	2393	2379	"Datta"
"SRR3681503_1"	1973	1968	1968	1968	1938	1933	"Datta"
"SRR3681504_1"	98992	98864	98864	98864	94390	93984	"Datta"
"SRR3681505_1"	131916	131746	131746	131746	123893	123115	"Datta"
"SRR3681506_1"	110852	110706	110706	110706	101523	101122	"Datta"
"SRR3681507_1"	89155	89048	89048	89048	84376	83467	"Datta"
"SRR3681508_1"	55326	55248	55248	55248	51725	51289	"Datta"
"SRR3681509_1"	56823	56732	56732	56732	51641	51501	"Datta"
"SRR3681510_1"	18546	18486	18486	18486	18381	18181	"Datta"
"SRR3681511_1"	10191	10169	10169	10169	10016	9940	"Datta"
"SRR3681512_1"	66060	65943	65943	65943	63818	63511	"Datta"
"SRR3681513_1"	77176	77098	77098	77098	74154	73895	"Datta"
"SRR3681514_1"	1771	1769	1769	1769	1769	1767	"Datta"
"SRR3681515_1"	109164	109078	109078	109078	105395	105240	"Datta"
"SRR3681516_1"	99711	99632	99632	99632	96216	96139	"Datta"
"SRR3681517_1"	84308	84234	84234	84234	81694	81604	"Datta"
"SRR3681518_1"	64050	64000	64000	64000	61024	60988	"Datta"
"SRR3681519_1"	91919	91832	91832	91832	86894	86663	"Datta"
"SRR3681520_1"	83210	83108	83108	83108	76608	76404	"Datta"
"SRR3681521_1"	94638	94519	94519	94519	87670	87114	"Datta"
"SRR3681522_1"	102255	102147	102147	102147	93742	93199	"Datta"
"SRR3681523_1"	113408	113294	113294	113294	99470	99322	"Datta"
"SRR3681524_1"	131605	131445	131445	131445	117794	117449	"Datta"
"SRR3681525_1"	6522	6513	6513	6513	6487	6482	"Datta"
"SRR3681526_1"	70673	70588	70588	70588	63570	63321	"Datta"
"SRR3681527_1"	66526	66450	66450	66450	60461	59998	"Datta"
"SRR3681528_1"	14245	14214	14214	14214	14072	13941	"Datta"
"SRR3681529_1"	55776	55653	55653	55653	55192	54687	"Datta"
"SRR3681530_1"	50237	50153	50153	50153	49117	48812	"Datta"
"SRR3681531_1"	81234	81140	81140	81140	78713	78471	"Datta"
"SRR3681532_1"	89943	89831	89831	89831	87129	86843	"Datta"
"SRR3681533_1"	80229	80153	80153	80153	77939	77787	"Datta"
"SRR3681534_1"	64547	64511	64511	64511	63486	63444	"Datta"
