"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"ETEC10.fwd"	130195	128962	128962	128962	118387	118387	"David"
"ETEC11.fwd"	113851	112789	112789	112789	107103	107103	"David"
"ETEC12.fwd"	159747	158515	158515	158515	141414	141414	"David"
"ETEC13.fwd"	109656	108904	108904	108904	99536	99536	"David"
"ETEC14.fwd"	88221	87612	87612	87612	82856	82856	"David"
"ETEC15.fwd"	234158	231771	231771	231771	225728	225726	"David"
"ETEC16.fwd"	91399	90475	90475	90475	89113	89113	"David"
"ETEC17.fwd"	141164	139428	139428	139428	131685	131685	"David"
"ETEC18.fwd"	86246	85229	85229	85229	80904	80904	"David"
"ETEC19.fwd"	95664	94716	94716	94716	91584	91584	"David"
"ETEC1.fwd"	148973	147587	147587	147587	141158	141158	"David"
"ETEC20.fwd"	196764	195682	195682	195682	187510	187510	"David"
"ETEC21.fwd"	205858	203904	203904	203904	201294	201289	"David"
"ETEC22.fwd"	213672	211276	211276	211276	207228	207228	"David"
"ETEC23.fwd"	66092	65546	65546	65546	59704	59704	"David"
"ETEC24.fwd"	147848	146918	146918	146918	135515	135515	"David"
"ETEC25.fwd"	128386	127487	127487	127487	118613	118567	"David"
"ETEC26.fwd"	171292	169071	169071	169071	162627	162536	"David"
"ETEC27.fwd"	214763	211759	211759	211759	201978	201894	"David"
"ETEC28.fwd"	227011	224945	224945	224945	220237	220235	"David"
"ETEC29.fwd"	285562	279454	279454	279454	263081	259909	"David"
"ETEC2.fwd"	222497	220154	220154	220154	201000	201000	"David"
"ETEC31.fwd"	149788	148742	148742	148742	142448	142448	"David"
"ETEC32.fwd"	99860	99184	99184	99184	92522	92522	"David"
"ETEC33.fwd"	178979	177533	177533	177533	167959	167959	"David"
"ETEC34.fwd"	135892	135060	135060	135060	127748	127748	"David"
"ETEC35.fwd"	227884	226396	226396	226396	224023	223947	"David"
"ETEC36.fwd"	233688	230483	230483	230483	214707	214681	"David"
"ETEC37.fwd"	189598	187870	187870	187870	181938	181928	"David"
"ETEC38.fwd"	161745	160464	160464	160464	152752	152752	"David"
"ETEC39.fwd"	88004	87258	87258	87258	83013	83013	"David"
"ETEC3.fwd"	88469	87637	87637	87637	79289	79289	"David"
"ETEC40.fwd"	151228	150502	150502	150502	144924	144924	"David"
"ETEC41.fwd"	65041	64444	64444	64444	61046	61046	"David"
