"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"DRR066438"	86136	70947	70947	70947	65759	65616	"Dong"
"DRR066439"	65659	53777	53777	53777	49564	49415	"Dong"
"DRR066440"	40213	33120	33120	33120	31324	31191	"Dong"
"DRR066441"	54630	44940	44940	44940	41837	41615	"Dong"
"DRR066442"	77031	62986	62986	62986	58008	57833	"Dong"
"DRR066443"	87707	72179	72179	72179	66784	65963	"Dong"
"DRR066444"	74999	62482	62482	62482	58196	57885	"Dong"
"DRR066445"	75919	62673	62673	62673	58267	58109	"Dong"
"DRR066446"	69185	56592	56592	56592	52885	52551	"Dong"
"DRR066447"	68757	55697	55697	55697	52171	51922	"Dong"
"DRR066448"	60132	48849	48849	48849	45643	45394	"Dong"
"DRR066449"	44492	36425	36425	36425	34520	34237	"Dong"
"DRR066450"	102768	84466	84466	84466	77558	77366	"Dong"
"DRR066451"	60520	49942	49942	49942	46748	46304	"Dong"
"DRR066452"	78584	63769	63769	63769	59195	58698	"Dong"
"DRR066453"	45453	36878	36878	36878	34823	34620	"Dong"
"DRR066454"	79655	65394	65394	65394	61668	61465	"Dong"
"DRR066455"	52400	42760	42760	42760	40797	39885	"Dong"
"DRR066456"	63118	52467	52467	52467	49952	49847	"Dong"
"DRR066457"	70320	58238	58238	58238	54997	54868	"Dong"
"DRR066458"	85161	69406	69406	69406	65346	65009	"Dong"
"DRR066459"	74264	60385	60385	60385	56751	56443	"Dong"
"DRR066460"	66821	54249	54249	54249	51344	51230	"Dong"
"DRR066461"	46101	37982	37982	37982	36041	35865	"Dong"
"DRR066462"	60947	49714	49714	49714	46898	46681	"Dong"
"DRR066463"	56455	46446	46446	46446	44094	43188	"Dong"
"DRR066464"	88493	71827	71827	71827	66981	66524	"Dong"
"DRR066465"	47640	38712	38712	38712	37276	37014	"Dong"
"DRR066466"	69232	56738	56738	56738	54318	52557	"Dong"
"DRR066467"	54466	44674	44674	44674	42915	42388	"Dong"
"DRR066468"	56281	46713	46713	46713	45164	44977	"Dong"
"DRR066469"	23473	19332	19332	19332	18765	18699	"Dong"
"DRR066470"	82724	67226	67226	67226	65070	65034	"Dong"
"DRR066471"	48996	39768	39768	39768	38983	38937	"Dong"
"DRR066472"	48418	39776	39776	39776	39102	39020	"Dong"
"DRR066473"	48719	40314	40314	40314	38744	38680	"Dong"
"DRR066474"	18477	15236	15236	15236	15020	15006	"Dong"
"DRR066475"	129517	105718	105718	105718	101233	100939	"Dong"
"DRR066476"	43609	35247	35247	35247	34688	34585	"Dong"
"DRR066477"	93575	77038	77038	77038	73819	73714	"Dong"
"DRR066478"	88271	72171	72171	72171	69364	69344	"Dong"
"DRR066479"	75874	62555	62555	62555	60294	60248	"Dong"
"DRR066480"	66957	54813	54813	54813	53337	53286	"Dong"
"DRR066481"	99399	82179	82179	82179	80396	80307	"Dong"
"DRR066482"	103056	84744	84744	84744	82365	82305	"Dong"
"DRR066483"	105076	85756	85756	85756	83982	83965	"Dong"
"DRR066484"	87682	72538	72538	72538	70704	70584	"Dong"
"DRR066485"	71222	58544	58544	58544	56261	56251	"Dong"
"DRR066486"	54703	44867	44867	44867	43657	43610	"Dong"
"DRR066487"	128880	105519	105519	105519	103408	103206	"Dong"
"DRR066488"	74229	60642	60642	60642	58990	58712	"Dong"
