"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"100-V-1-2-4.join.fq.gz"	38487	38483	38483	38483	38000	38000	"study"
"101-V-2-1-4.join.fq.gz"	18301	18298	18298	18298	18289	18289	"study"
"102-V-2-2-4.join.fq.gz"	30606	30601	30601	30601	30601	30601	"study"
"103-V-3-1-4.join.fq.gz"	57146	57130	57130	57130	56144	56144	"study"
"104-V-4-1-4.join.fq.gz"	83995	83975	83975	83975	83574	83574	"study"
"105-V-5-1-4.join.fq.gz"	14103	14096	14096	14096	14096	14096	"study"
"106-V-5-2-4.join.fq.gz"	54392	54359	54359	54359	54340	54340	"study"
"107-V-1-1-8.join.fq.gz"	55482	55414	55414	55414	55257	55257	"study"
"108-V-1-2-8.join.fq.gz"	72573	72509	72509	72509	72055	72055	"study"
"109-V-2-1-8.join.fq.gz"	39656	39635	39635	39635	39404	39404	"study"
"10-II-4-1-0.join.fq.gz"	34141	34130	34130	34130	34130	34130	"study"
"110-V-2-2-8.join.fq.gz"	69459	69425	69425	69425	69260	69260	"study"
"111-V-4-1-8.join.fq.gz"	74305	74271	74271	74271	74223	74223	"study"
"112-V-5-1-8.join.fq.gz"	59388	59299	59299	59299	59277	59277	"study"
"113-V-5-2-8.join.fq.gz"	53174	53126	53126	53126	53055	53055	"study"
"114-V-1-1-10.join.fq.gz"	60776	60745	60745	60745	60443	60443	"study"
"115-V-1-2-10.join.fq.gz"	23507	23484	23484	23484	23411	23411	"study"
"116-V-2-1-10.join.fq.gz"	47333	47290	47290	47290	47290	47290	"study"
"117-V-2-2-10.join.fq.gz"	52161	52132	52132	52132	51852	51852	"study"
"118-V-3-1-10.join.fq.gz"	98243	98176	98176	98176	98134	98134	"study"
"119-V-4-1-10.join.fq.gz"	107738	107669	107669	107669	107546	107546	"study"
"11-II-4-2-0.join.fq.gz"	53098	53082	53082	53082	53077	53077	"study"
"120-V-5-1-10.join.fq.gz"	111965	111840	111840	111840	111751	111751	"study"
"121-V-5-2-10.join.fq.gz"	131801	131672	131672	131672	131262	131262	"study"
"122-V-1-1-12.join.fq.gz"	84627	84579	84579	84579	84555	84555	"study"
"123-V-1-2-12.join.fq.gz"	22027	22015	22015	22015	22015	22015	"study"
"124-V-2-1-12.join.fq.gz"	94614	94568	94568	94568	94410	94410	"study"
"125-V-2-2-12.join.fq.gz"	127190	127102	127102	127102	126833	126833	"study"
"126-V-3-1-12.join.fq.gz"	133792	133736	133736	133736	133531	133531	"study"
"127-V-5-1-12.join.fq.gz"	99327	99265	99265	99265	99141	99141	"study"
"128-V-5-2-12.join.fq.gz"	87039	87007	87007	87007	86941	86941	"study"
"129-V-1-1-16.join.fq.gz"	102259	102206	102206	102206	102011	102011	"study"
"12-II-5-1-0.join.fq.gz"	64579	64559	64559	64559	64559	64559	"study"
"130-V-1-2-16.join.fq.gz"	111579	111529	111529	111529	111360	111360	"study"
"131-V-2-1-16.join.fq.gz"	131149	131129	131129	131129	129987	129987	"study"
"132-V-2-2-16.join.fq.gz"	136403	136385	136385	136385	134609	134609	"study"
"133-V-3-1-16.join.fq.gz"	155504	155434	155434	155434	155087	155087	"study"
"134-V-4-1-16.join.fq.gz"	257303	257137	257137	257137	242758	242758	"study"
"135-V-5-1-16.join.fq.gz"	143116	143013	143013	143013	142737	142737	"study"
"136-V-5-2-16.join.fq.gz"	122706	122668	122668	122668	122512	122512	"study"
"137-V-1-1-20.join.fq.gz"	112515	112324	112324	112324	111704	111704	"study"
"138-V-1-2-20.join.fq.gz"	113152	113081	113081	113081	111568	111568	"study"
"139-V-2-1-20.join.fq.gz"	95100	94990	94990	94990	93727	93727	"study"
"13-II-3-2-2.join.fq.gz"	73548	73519	73519	73519	72883	72883	"study"
"140-V-2-2-20.join.fq.gz"	35884	35846	35846	35846	35689	35689	"study"
"141-V-3-1-20.join.fq.gz"	74927	74901	74901	74901	74804	74804	"study"
