"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"OS-D0-29_S88_L001_R1_001.fastq"	59908	59880	59880	59880	59880	59702	"Flancman"
"OS-D28-10_S14_L001_R1_001.fastq"	126912	126859	126859	126859	126178	122167	"Flancman"
"OS-D28-11_S26_L001_R1_001.fastq"	115176	115118	115118	115118	114883	109870	"Flancman"
"OS-D28-12_S38_L001_R1_001.fastq"	56294	56237	56237	56237	55199	54201	"Flancman"
"OS-D28-13_S50_L001_R1_001.fastq"	90276	90241	90241	90241	90118	89439	"Flancman"
"OS-D28-14_S62_L001_R1_001.fastq"	75342	75280	75280	75280	75124	74417	"Flancman"
"OS-D28-15_S74_L001_R1_001.fastq"	126266	126155	126155	126155	126155	121475	"Flancman"
"OS-D28-16_S86_L001_R1_001.fastq"	82037	81979	81979	81979	81979	80530	"Flancman"
"OS-D28-17_S3_L001_R1_001.fastq"	151515	151454	151454	151454	150210	148085	"Flancman"
"OS-D28-18_S15_L001_R1_001.fastq"	240325	240208	240208	240208	227438	225304	"Flancman"
"OS-D28-19_S27_L001_R1_001.fastq"	246922	246827	246827	246827	245369	241293	"Flancman"
"OS-D28-1_S1_L001_R1_001.fastq"	199779	199668	199668	199668	199377	198995	"Flancman"
"OS-D28-20_S39_L001_R1_001.fastq"	124502	124433	124433	124433	124240	121891	"Flancman"
"OS-D28-21_S51_L001_R1_001.fastq"	103011	102958	102958	102958	102759	100005	"Flancman"
"OS-D28-23_S63_L001_R1_001.fastq"	205290	205156	205156	205156	203900	202060	"Flancman"
"OS-D28-24_S75_L001_R1_001.fastq"	89274	89237	89237	89237	87698	87336	"Flancman"
"OS-D28-26_S87_L001_R1_001.fastq"	96789	96747	96747	96747	96519	95985	"Flancman"
"OS-D28-27_S4_L001_R1_001.fastq"	138567	138487	138487	138487	138083	136216	"Flancman"
"OS-D28-28_S16_L001_R1_001.fastq"	234566	234293	234293	234293	233186	232106	"Flancman"
"OS-D28-29_S28_L001_R1_001.fastq"	137846	137790	137790	137790	137134	136837	"Flancman"
"OS-D28-2_S13_L001_R1_001.fastq"	286982	286810	286810	286810	285986	285650	"Flancman"
"OS-D28-30_S40_L001_R1_001.fastq"	192696	192653	192653	192653	192237	192033	"Flancman"
"OS-D28-31_S52_L001_R1_001.fastq"	203336	203257	203257	203257	202654	202287	"Flancman"
"OS-D28-32_S64_L001_R1_001.fastq"	133351	133269	133269	133269	133240	130778	"Flancman"
"OS-D28-3_S25_L001_R1_001.fastq"	150825	150668	150668	150668	149274	147418	"Flancman"
"OS-D28-4_S37_L001_R1_001.fastq"	225739	225602	225602	225602	224632	224033	"Flancman"
"OS-D28-5_S49_L001_R1_001.fastq"	146193	146113	146113	146113	142597	139316	"Flancman"
"OS-D28-6_S61_L001_R1_001.fastq"	124333	124259	124259	124259	122641	119518	"Flancman"
"OS-D28-7_S73_L001_R1_001.fastq"	179613	179469	179469	179469	179209	177363	"Flancman"
"OS-D28-8_S85_L001_R1_001.fastq"	173587	173505	173505	173505	173208	171000	"Flancman"
"OS-D28-9_S2_L001_R1_001.fastq"	105754	105656	105656	105656	105574	100553	"Flancman"
"OS-Pre-29_S76_L001_R1_001.fastq"	112726	112687	112687	112687	112563	112316	"Flancman"
"Plq-D0-10_S14_L001_R1_001.fastq"	113546	113511	113511	113511	113219	112968	"Flancman"
"Plq-D0-11_S26_L001_R1_001.fastq"	109822	109764	109764	109764	109186	109084	"Flancman"
"Plq-D0-12_S38_L001_R1_001.fastq"	160049	159991	159991	159991	159665	159319	"Flancman"
"Plq-D0-13_S50_L001_R1_001.fastq"	116769	116691	116691	116691	116498	114974	"Flancman"
"Plq-D0-14_S62_L001_R1_001.fastq"	120827	120750	120750	120750	119066	118992	"Flancman"
"Plq-D0-15_S74_L001_R1_001.fastq"	99016	99000	99000	99000	98806	98493	"Flancman"
"Plq-D0-16_S86_L001_R1_001.fastq"	114628	114590	114590	114590	114447	113737	"Flancman"
