"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR2035440_1"	67421	65899	65899	65899	64079	63300	"Frenk"
"SRR2035446_1"	60040	58258	58258	58258	55124	53228	"Frenk"
"SRR2035448_1"	64341	62629	62629	62629	61093	60459	"Frenk"
"SRR2035449_1"	58857	57366	57366	57366	54166	52491	"Frenk"
"SRR2035451_1"	60765	59404	59404	59404	57812	57040	"Frenk"
"SRR2035452_1"	57585	56021	56021	56021	52652	51211	"Frenk"
"SRR2035453_1"	57866	56373	56373	56373	52652	52383	"Frenk"
"SRR2035454_1"	66367	64363	64363	64363	59230	58399	"Frenk"
"SRR2035455_1"	64833	63211	63211	63211	58958	58656	"Frenk"
"SRR2035456_1"	64780	62950	62950	62950	56786	55914	"Frenk"
"SRR2035457_1"	23103	22487	22487	22487	22341	22199	"Frenk"
"SRR2035458_1"	14733	14132	14132	14132	13125	12886	"Frenk"
"SRR2035459_1"	14866	14483	14483	14483	14463	14376	"Frenk"
"SRR2035460_1"	78894	76997	76997	76997	72936	71085	"Frenk"
"SRR2035461_1"	58997	57518	57518	57518	55140	54514	"Frenk"
"SRR2035462_1"	68095	66523	66523	66523	63172	61352	"Frenk"
"SRR2035463_1"	62639	61160	61160	61160	59728	59294	"Frenk"
"SRR2035464_1"	66430	64996	64996	64996	62984	61426	"Frenk"
"SRR2035465_1"	70149	68313	68313	68313	60355	60131	"Frenk"
"SRR2035466_1"	70182	68630	68630	68630	61643	61349	"Frenk"
"SRR2035467_1"	68017	66310	66310	66310	59100	59029	"Frenk"
"SRR2035468_1"	70374	68733	68733	68733	62343	61979	"Frenk"
"SRR2035470_1"	66229	64201	64201	64201	58973	58906	"Frenk"
"SRR2035471_1"	74233	72406	72406	72406	65032	64337	"Frenk"
"SRR2035472_1"	58395	56802	56802	56802	55076	54663	"Frenk"
"SRR2035473_1"	87225	85051	85051	85051	77995	75651	"Frenk"
"SRR2035475_1"	118369	108890	108890	108890	75621	68352	"Frenk"
"SRR2035476_1"	54887	53350	53350	53350	52172	51221	"Frenk"
"SRR2035477_1"	64212	62732	62732	62732	58261	56612	"Frenk"
"SRR2035478_1"	144365	138131	138131	138131	125856	125334	"Frenk"
"SRR2035479_1"	5204	5043	5043	5043	5043	4972	"Frenk"
"SRR2035480_1"	71658	69942	69942	69942	65430	63372	"Frenk"
"SRR2035481_1"	188811	180704	180704	180704	171977	168959	"Frenk"
"SRR2035483_1"	444	399	399	399	399	399	"Frenk"
"SRR2035485_1"	68054	65253	65253	65253	57245	56594	"Frenk"
"SRR2035486_1"	201119	191457	191457	191457	180960	179312	"Frenk"
"SRR2035487_1"	66830	64423	64423	64423	59191	58249	"Frenk"
"SRR2035489_1"	67104	65474	65474	65474	57989	57365	"Frenk"
"SRR2035490_1"	223344	212330	212330	212330	198891	196681	"Frenk"
"SRR2035880_1"	69412	67504	67504	67504	61452	60937	"Frenk"
"SRR2035881_1"	69888	68134	68134	68134	61197	60473	"Frenk"
"SRR2035883_1"	155349	148484	148484	148484	142876	141226	"Frenk"
"SRR2035884_1"	59934	58252	58252	58252	56750	56092	"Frenk"
"SRR2035885_1"	64451	62184	62184	62184	58775	56686	"Frenk"
"SRR2035886_1"	71618	69921	69921	69921	67246	66893	"Frenk"
"SRR2035888_1"	56344	54653	54653	54653	51528	49667	"Frenk"
"SRR2035889_1"	66043	64039	64039	64039	62246	61602	"Frenk"
"SRR2035890_1"	62993	61141	61141	61141	57321	55017	"Frenk"
"SRR2035891_1"	28064	27343	27343	27343	26780	26609	"Frenk"
"SRR2035892_1"	65787	63116	63116	63116	57512	56091	"Frenk"
"SRR2035893_1"	15727	15260	15260	15260	15116	15023	"Frenk"
"SRR2035894_1"	64558	63008	63008	63008	57150	56494	"Frenk"
"SRR2035895_1"	63392	61798	61798	61798	58508	58289	"Frenk"
"SRR2035896_1"	70181	68203	68203	68203	62225	61404	"Frenk"
"SRR2035897_1"	64981	63224	63224	63224	60989	60751	"Frenk"
"SRR2035899_1"	63492	61944	61944	61944	58702	57006	"Frenk"
"SRR2035900_1"	50349	49051	49051	49051	47539	47183	"Frenk"
"SRR2035901_1"	70245	67903	67903	67903	63094	61334	"Frenk"
"SRR2035903_1"	48935	47659	47659	47659	44593	44417	"Frenk"
"SRR2035904_1"	65303	63663	63663	63663	60108	58303	"Frenk"
"SRR2035905_1"	61190	59610	59610	59610	54404	53938	"Frenk"
"SRR2035906_1"	65186	63596	63596	63596	58460	57536	"Frenk"
"SRR2035907_1"	53865	52271	52271	52271	48681	48490	"Frenk"
"SRR2035908_1"	70174	68189	68189	68189	62014	61319	"Frenk"
"SRR2035909_1"	19891	19339	19339	19339	18909	18817	"Frenk"
"SRR2035910_1"	66132	64005	64005	64005	58183	56861	"Frenk"
"SRR2035911_1"	19547	18996	18996	18996	18316	18253	"Frenk"
"SRR2035912_1"	68606	66640	66640	66640	62532	60422	"Frenk"
"SRR2035913_1"	49024	47663	47663	47663	45138	44950	"Frenk"
"SRR2035914_1"	56962	55475	55475	55475	52400	50793	"Frenk"
"SRR2035915_1"	53393	52024	52024	52024	49662	49406	"Frenk"
"SRR2035916_1"	63838	62417	62417	62417	58935	57107	"Frenk"
"SRR2035917_1"	70389	68231	68231	68231	61214	59962	"Frenk"
"SRR2035918_1"	67035	64822	64822	64822	58455	57960	"Frenk"
"SRR2035919_1"	51314	50069	50069	50069	43884	43129	"Frenk"
"SRR2035920_1"	67208	65459	65459	65459	59342	59050	"Frenk"
"SRR2035921_1"	46549	45311	45311	45311	41081	40697	"Frenk"
"SRR2035922_1"	69525	67847	67847	67847	60265	59992	"Frenk"
"SRR2035923_1"	20727	19830	19830	19830	19569	18344	"Frenk"
"SRR2035924_1"	57544	56022	56022	56022	53256	52336	"Frenk"
"SRR2035925_1"	21674	21133	21133	21133	20503	20093	"Frenk"
"SRR2035926_1"	56419	54728	54728	54728	53176	52167	"Frenk"
"SRR2035927_1"	19180	18674	18674	18674	18085	17717	"Frenk"
"SRR2035928_1"	53214	51819	51819	51819	49858	48804	"Frenk"
"SRR2035929_1"	79637	74956	74956	74956	65447	63004	"Frenk"
"SRR2035930_1"	58345	56118	56118	56118	49302	48760	"Frenk"
"SRR2035931_1"	72847	69529	69529	69529	61818	60673	"Frenk"
"SRR2035932_1"	52269	50429	50429	50429	44218	43562	"Frenk"
"SRR2035933_1"	58461	56272	56272	56272	47432	47076	"Frenk"
"SRR2035934_1"	69382	66766	66766	66766	59442	58507	"Frenk"
"SRR2035935_1"	65366	63478	63478	63478	61035	60445	"Frenk"
"SRR2035936_1"	45445	44405	44405	44405	43103	42341	"Frenk"
"SRR2035937_1"	59499	57909	57909	57909	55735	55602	"Frenk"
"SRR2035938_1"	53254	51864	51864	51864	50211	48971	"Frenk"
"SRR2035939_1"	63236	61683	61683	61683	59020	58749	"Frenk"
"SRR2035940_1"	56479	54953	54953	54953	53073	52005	"Frenk"
"SRR2035941_1"	26570	25684	25684	25684	23394	23256	"Frenk"
"SRR2035942_1"	55858	53508	53508	53508	47515	46769	"Frenk"
"SRR2035943_1"	21493	20599	20599	20599	18735	18629	"Frenk"
"SRR2035944_1"	62966	60593	60593	60593	52721	51916	"Frenk"
"SRR2035945_1"	60461	57519	57519	57519	51188	50751	"Frenk"
"SRR2035946_1"	60311	57778	57778	57778	51162	50535	"Frenk"
"SRR2035947_1"	78102	76015	76015	76015	71785	71341	"Frenk"
"SRR2035948_1"	54915	53489	53489	53489	51675	50791	"Frenk"
"SRR2035949_1"	52955	51784	51784	51784	49380	49221	"Frenk"
"SRR2035950_1"	67533	65431	65431	65431	63579	62831	"Frenk"
"SRR2035951_1"	63043	61306	61306	61306	59008	58380	"Frenk"
"SRR2035952_1"	52568	51233	51233	51233	48842	48116	"Frenk"
"SRR2035953_1"	60364	57211	57211	57211	48720	46280	"Frenk"
"SRR2035954_1"	51262	49239	49239	49239	43803	43361	"Frenk"
"SRR2035955_1"	66726	63204	63204	63204	54353	51032	"Frenk"
"SRR2035956_1"	55725	53741	53741	53741	48001	47608	"Frenk"
"SRR2035958_1"	21209	20221	20221	20221	19884	18103	"Frenk"
"SRR2035959_1"	56521	54563	54563	54563	48888	48490	"Frenk"
"SRR2035960_1"	19175	18316	18316	18316	17955	16420	"Frenk"
"SRR2035961_1"	55881	54406	54406	54406	52220	50892	"Frenk"
"SRR2035962_1"	61676	59895	59895	59895	53823	53626	"Frenk"
"SRR2035963_1"	61430	59936	59936	59936	57000	56471	"Frenk"
"SRR2035964_1"	79412	76863	76863	76863	72064	70330	"Frenk"
"SRR2035965_1"	59938	58416	58416	58416	55478	55106	"Frenk"
"SRR2035966_1"	65672	63319	63319	63319	52515	52331	"Frenk"
"SRR2035967_1"	71241	68542	68542	68542	59676	59115	"Frenk"
"SRR2035968_1"	55602	52242	52242	52242	43675	40991	"Frenk"
"SRR2035969_1"	55305	53289	53289	53289	46963	46628	"Frenk"
"SRR2035970_1"	67627	64630	64630	64630	53708	53490	"Frenk"
"SRR2035971_1"	62746	59870	59870	59870	51274	49256	"Frenk"
"SRR2035972_1"	52188	50557	50557	50557	49480	48838	"Frenk"
"SRR2035973_1"	58072	56556	56556	56556	54277	53474	"Frenk"
"SRR2035974_1"	22567	21987	21987	21987	21622	21353	"Frenk"
"SRR2035975_1"	55337	53839	53839	53839	51840	50998	"Frenk"
"SRR2036049_1"	19817	19133	19133	19133	18804	18552	"Frenk"
"SRR2036051_1"	58156	56462	56462	56462	54250	52158	"Frenk"
"SRR2036052_1"	60031	57888	57888	57888	53380	52442	"Frenk"
"SRR2036053_1"	62545	60525	60525	60525	55434	54729	"Frenk"
"SRR2036054_1"	46311	41226	41226	41226	37928	32420	"Frenk"
"SRR2036055_1"	55545	53561	53561	53561	50076	49574	"Frenk"
"SRR2036056_1"	65418	63215	63215	63215	57063	56083	"Frenk"
"SRR2036057_1"	62902	61058	61058	61058	53943	53494	"Frenk"
"SRR2036058_1"	63370	61708	61708	61708	59805	59540	"Frenk"
"SRR2036059_1"	47150	42136	42136	42136	39930	35687	"Frenk"
"SRR2036060_1"	54326	52603	52603	52603	50822	49813	"Frenk"
"SRR2036061_1"	60877	58623	58623	58623	55627	53344	"Frenk"
