"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR2153559"	19415	18683	18683	18683	18450	18402	"Fuentes"
"SRR2153560"	20725	19999	19999	19999	19835	19775	"Fuentes"
"SRR2153561"	25800	24866	24866	24866	24744	24637	"Fuentes"
"SRR2153562"	25141	24904	24904	24904	23512	23490	"Fuentes"
"SRR2153563"	15961	15774	15774	15774	15672	15663	"Fuentes"
"SRR2153564"	18508	18315	18315	18315	17882	17863	"Fuentes"
"SRR2153565"	11201	11051	11051	11051	11019	11006	"Fuentes"
"SRR2153566"	27391	27036	27036	27036	26368	26337	"Fuentes"
"SRR2153567"	18135	17999	17999	17999	17423	17412	"Fuentes"
"SRR2153568"	26741	26315	26315	26315	25595	25569	"Fuentes"
"SRR2153569"	33944	33385	33385	33385	32426	32406	"Fuentes"
"SRR2153570"	23036	22777	22777	22777	22519	22492	"Fuentes"
"SRR2153571"	28517	28217	28217	28217	27800	27785	"Fuentes"
"SRR2153572"	27922	26861	26861	26861	26726	26591	"Fuentes"
"SRR2153573"	26219	25883	25883	25883	25725	25710	"Fuentes"
"SRR2153574"	28206	27947	27947	27947	27398	27383	"Fuentes"
"SRR2153575"	24342	24216	24216	24216	23513	23494	"Fuentes"
"SRR2153576"	28754	28441	28441	28441	28095	28065	"Fuentes"
"SRR2153578"	30937	30430	30430	30430	29790	29760	"Fuentes"
"SRR2153579"	26357	25970	25970	25970	24708	24692	"Fuentes"
"SRR2153580"	25373	25025	25025	25025	24624	24597	"Fuentes"
"SRR2153581"	19269	19102	19102	19102	18546	18533	"Fuentes"
"SRR2153582"	18434	18265	18265	18265	17980	17977	"Fuentes"
"SRR2153583"	27376	27084	27084	27084	26291	26265	"Fuentes"
"SRR2153584"	16425	15767	15767	15767	15745	15676	"Fuentes"
"SRR2153585"	21268	21096	21096	21096	20103	20098	"Fuentes"
"SRR2153586"	26903	26569	26569	26569	25711	25700	"Fuentes"
"SRR2153587"	16874	16728	16728	16728	16515	16501	"Fuentes"
"SRR2153588"	15711	15575	15575	15575	15362	15349	"Fuentes"
"SRR2153589"	21584	21113	21113	21113	21099	21075	"Fuentes"
"SRR2153590"	25581	25239	25239	25239	24866	24812	"Fuentes"
"SRR2153591"	26109	25670	25670	25670	24660	24585	"Fuentes"
"SRR2153592"	27428	26838	26838	26838	26687	26639	"Fuentes"
"SRR2153593"	29322	28591	28591	28591	28318	28257	"Fuentes"
"SRR2153594"	29289	28577	28577	28577	28313	28258	"Fuentes"
"SRR2153595"	21021	20051	20051	20051	19977	19917	"Fuentes"
"SRR2153596"	31322	30469	30469	30469	30098	30042	"Fuentes"
"SRR2153597"	36910	35709	35709	35709	35430	35344	"Fuentes"
"SRR2153598"	26879	26277	26277	26277	26036	25962	"Fuentes"
"SRR2153600"	27779	27020	27020	27020	26790	26691	"Fuentes"
"SRR2153601"	12744	12354	12354	12354	12327	12293	"Fuentes"
"SRR2153602"	29089	28091	28091	28091	27846	27794	"Fuentes"
"SRR2153603"	31719	30945	30945	30945	30213	30104	"Fuentes"
"SRR2153604"	29204	28604	28604	28604	27734	27674	"Fuentes"
"SRR2153605"	28387	27908	27908	27908	27358	27276	"Fuentes"
"SRR2153606"	25700	25317	25317	25317	24650	24618	"Fuentes"
"SRR2153607"	21930	21303	21303	21303	21160	21098	"Fuentes"
"SRR2153608"	27835	27461	27461	27461	26771	26713	"Fuentes"
"SRR2153609"	27165	26767	26767	26767	26030	25986	"Fuentes"
"SRR2153610"	25385	24999	24999	24999	24591	24573	"Fuentes"
"SRR2153611"	25666	25377	25377	25377	24641	24614	"Fuentes"
"SRR2153612"	29178	28713	28713	28713	27918	27892	"Fuentes"
"SRR2153613"	24440	24168	24168	24168	24023	24002	"Fuentes"
"SRR2153614"	30943	30439	30439	30439	29820	29798	"Fuentes"
"SRR2153615"	21323	21102	21102	21102	20856	20841	"Fuentes"
"SRR2153616"	31362	30911	30911	30911	30349	30325	"Fuentes"
"SRR2153617"	26088	25692	25692	25692	25386	25366	"Fuentes"
"SRR2153618"	23829	23001	23001	23001	22771	22674	"Fuentes"
"SRR2153619"	26233	25978	25978	25978	25588	25568	"Fuentes"
"SRR2153620"	27044	26720	26720	26720	26452	26424	"Fuentes"
"SRR2153621"	28686	28405	28405	28405	27822	27803	"Fuentes"
"SRR2153622"	33370	32907	32907	32907	31927	31912	"Fuentes"
"SRR2153623"	25750	25353	25353	25353	25062	25047	"Fuentes"
"SRR2153624"	31594	31086	31086	31086	30876	30864	"Fuentes"
"SRR2153625"	31314	30862	30862	30862	30573	30538	"Fuentes"
"SRR2153626"	22234	22027	22027	22027	21503	21491	"Fuentes"
"SRR2153627"	26186	25730	25730	25730	25293	25261	"Fuentes"
"SRR2153628"	26462	26159	26159	26159	25604	25590	"Fuentes"
"SRR2153629"	20587	19931	19931	19931	19785	19721	"Fuentes"
"SRR2153630"	14231	14077	14077	14077	14077	14072	"Fuentes"
"SRR2153631"	21891	21658	21658	21658	21207	21198	"Fuentes"
"SRR2153632"	26613	26272	26272	26272	26024	25979	"Fuentes"
"SRR2153633"	9939	9809	9809	9809	9783	9776	"Fuentes"
"SRR2153634"	26795	26397	26397	26397	25499	25480	"Fuentes"
"SRR2153635"	24298	23943	23943	23943	22762	22751	"Fuentes"
"SRR2153636"	23680	22782	22782	22782	22623	22529	"Fuentes"
"SRR2153637"	21605	20700	20700	20700	20617	20560	"Fuentes"
"SRR2153638"	19841	19183	19183	19183	19087	19010	"Fuentes"
"SRR2153639"	25863	24897	24897	24897	24774	24705	"Fuentes"
"SRR2153641"	22174	21485	21485	21485	21363	21259	"Fuentes"
"SRR2153642"	21948	21235	21235	21235	20999	20917	"Fuentes"
"SRR2153643"	20072	19531	19531	19531	19421	19338	"Fuentes"
"SRR2153644"	22846	22227	22227	22227	22067	21938	"Fuentes"
"SRR2153645"	14353	13862	13862	13862	13799	13747	"Fuentes"
"SRR2153646"	11850	11577	11577	11577	11514	11462	"Fuentes"
"SRR2153647"	22665	22046	22046	22046	21794	21711	"Fuentes"
"SRR2153648"	21047	20222	20222	20222	20063	19993	"Fuentes"
"SRR2153649"	19373	18756	18756	18756	18707	18648	"Fuentes"
"SRR2153650"	26430	25727	25727	25727	25470	25390	"Fuentes"
"SRR2153651"	22580	21701	21701	21701	21521	21458	"Fuentes"
"SRR2153652"	23126	22472	22472	22472	22262	22165	"Fuentes"
"SRR2153653"	21661	20803	20803	20803	20628	20532	"Fuentes"
"SRR2153655"	21981	21382	21382	21382	21255	21190	"Fuentes"
"SRR2153656"	27888	26861	26861	26861	26570	26473	"Fuentes"
"SRR2153657"	23283	22724	22724	22724	22526	22394	"Fuentes"
"SRR2153658"	16446	16029	16029	16029	15969	15903	"Fuentes"
"SRR2153659"	19939	19372	19372	19372	19223	19179	"Fuentes"
"SRR2153660"	23035	22132	22132	22132	21939	21855	"Fuentes"
"SRR2153661"	16056	15594	15594	15594	15376	15306	"Fuentes"
"SRR2153662"	13498	13005	13005	13005	12860	12812	"Fuentes"
"SRR2153663"	24942	24164	24164	24164	23963	23858	"Fuentes"
"SRR2153664"	22007	21236	21236	21236	20992	20856	"Fuentes"
"SRR2153665"	28192	27192	27192	27192	26822	26697	"Fuentes"
"SRR2153666"	29569	28354	28354	28354	27925	27777	"Fuentes"
"SRR2153667"	21809	20992	20992	20992	20760	20654	"Fuentes"
"SRR2153668"	24060	23243	23243	23243	22968	22836	"Fuentes"
"SRR2153669"	28122	26843	26843	26843	26475	26357	"Fuentes"
"SRR2153670"	26527	25527	25527	25527	25126	25005	"Fuentes"
"SRR2153671"	26596	25789	25789	25789	25467	25335	"Fuentes"
"SRR2153672"	25645	24675	24675	24675	24329	24212	"Fuentes"
"SRR2153673"	28679	27883	27883	27883	27562	27438	"Fuentes"
"SRR2153674"	23788	23153	23153	23153	22938	22864	"Fuentes"
"SRR2153675"	26261	25634	25634	25634	25505	25420	"Fuentes"
"SRR2153676"	24231	23705	23705	23705	23556	23489	"Fuentes"
"SRR2153677"	23504	22866	22866	22866	22692	22629	"Fuentes"
"SRR2153678"	23750	23219	23219	23219	23137	23082	"Fuentes"
"SRR2153679"	25807	25309	25309	25309	25146	25038	"Fuentes"
"SRR2153680"	16610	16324	16324	16324	16273	16249	"Fuentes"
"SRR2153681"	21486	21108	21108	21108	21008	20966	"Fuentes"
"SRR2153682"	21411	20986	20986	20986	20895	20860	"Fuentes"
"SRR2153683"	23916	23397	23397	23397	23233	23207	"Fuentes"
"SRR2153684"	19454	19213	19213	19213	19101	19055	"Fuentes"
"SRR2153685"	27345	26315	26315	26315	25971	25851	"Fuentes"
"SRR2153686"	23517	23169	23169	23169	23024	22988	"Fuentes"
"SRR2153687"	17347	17159	17159	17159	16850	16837	"Fuentes"
"SRR2153688"	24778	24319	24319	24319	24267	24218	"Fuentes"
"SRR2153689"	19088	18876	18876	18876	18613	18583	"Fuentes"
"SRR2153690"	23365	23018	23018	23018	22752	22724	"Fuentes"
"SRR2153691"	22552	22313	22313	22313	22113	22085	"Fuentes"
"SRR2153692"	21924	21581	21581	21581	21467	21437	"Fuentes"
"SRR2153713"	20899	20516	20516	20516	20439	20412	"Fuentes"
"SRR2153714"	20661	20293	20293	20293	20196	20163	"Fuentes"
"SRR2153715"	23628	23185	23185	23185	22959	22928	"Fuentes"
"SRR2153716"	30122	28774	28774	28774	28571	28471	"Fuentes"
"SRR2153717"	23884	23521	23521	23521	22988	22976	"Fuentes"
"SRR2153718"	16735	16510	16510	16510	16008	16002	"Fuentes"
"SRR2153719"	25395	24939	24939	24939	24711	24690	"Fuentes"
"SRR2153720"	19719	19465	19465	19465	19091	19065	"Fuentes"
"SRR2153721"	22425	22065	22065	22065	21581	21553	"Fuentes"
"SRR2153722"	16266	16077	16077	16077	15890	15879	"Fuentes"
"SRR2153723"	21392	21078	21078	21078	20901	20880	"Fuentes"
"SRR2153724"	20910	20628	20628	20628	20330	20310	"Fuentes"
"SRR2153725"	19750	19550	19550	19550	19091	19070	"Fuentes"
"SRR2153726"	20822	20429	20429	20429	20178	20141	"Fuentes"
"SRR2153727"	30345	29136	29136	29136	28847	28744	"Fuentes"
"SRR2153728"	24808	24424	24424	24424	24336	24312	"Fuentes"
"SRR2153729"	18567	18289	18289	18289	17825	17784	"Fuentes"
"SRR2153730"	16992	16741	16741	16741	16668	16627	"Fuentes"
"SRR2153731"	16504	16255	16255	16255	15893	15859	"Fuentes"
"SRR2153732"	28096	27010	27010	27010	26620	26453	"Fuentes"
"SRR2153733"	21803	21021	21021	21021	20795	20668	"Fuentes"
"SRR2153734"	26027	25207	25207	25207	24923	24771	"Fuentes"
"SRR2153735"	25713	24633	24633	24633	24382	24260	"Fuentes"
"SRR2153736"	23810	23079	23079	23079	22875	22779	"Fuentes"
"SRR2153737"	24241	23454	23454	23454	23146	23003	"Fuentes"
"SRR2153738"	26265	25399	25399	25399	25115	24969	"Fuentes"
"SRR2153739"	17194	16545	16545	16545	16505	16456	"Fuentes"
"SRR2153740"	16259	15793	15793	15793	15736	15682	"Fuentes"
"SRR2153741"	21859	21529	21529	21529	21386	21348	"Fuentes"
"SRR2153743"	19829	19578	19578	19578	19492	19466	"Fuentes"
