"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"ERR1987354"	49463	38254	38254	38254	37525	32387	"Ho"
"ERR1987355"	54545	36316	36316	36316	35765	27762	"Ho"
"ERR1987356"	61230	35946	35946	35946	35497	24665	"Ho"
"ERR1987357"	44425	39495	39495	39495	38857	38180	"Ho"
"ERR1987358"	46714	37669	37669	37669	37138	33902	"Ho"
"ERR1987359"	39842	36227	36227	36227	35674	35210	"Ho"
"ERR1987360"	47643	34620	34620	34620	34210	31386	"Ho"
"ERR1987361"	35760	33974	33974	33974	33089	32782	"Ho"
"ERR1987362"	52430	40041	40041	40041	39446	36432	"Ho"
"ERR1987363"	68909	42193	42193	42193	41598	40938	"Ho"
"ERR1987364"	58561	37749	37749	37749	37155	34031	"Ho"
"ERR1987365"	32533	23699	23699	23699	23404	23047	"Ho"
"ERR1987366"	62056	40280	40280	40280	39688	35223	"Ho"
"ERR1987367"	21609	17859	17859	17859	17684	17460	"Ho"
"ERR1987368"	50650	35832	35832	35832	35263	32102	"Ho"
"ERR1987369"	53111	48060	48060	48060	47147	45438	"Ho"
"ERR1987370"	44523	42429	42429	42429	41889	40437	"Ho"
"ERR1987371"	50869	46129	46129	46129	45277	43904	"Ho"
"ERR1987372"	29085	26971	26971	26971	26285	25173	"Ho"
"ERR1987373"	56851	48338	48338	48338	47880	46847	"Ho"
"ERR1987374"	52868	36468	36468	36468	36174	34650	"Ho"
"ERR1987375"	45127	40638	40638	40638	40060	38999	"Ho"
"ERR1987376"	32144	28101	28101	28101	27869	27595	"Ho"
"ERR1987377"	56289	50111	50111	50111	49527	48528	"Ho"
"ERR1987378"	83439	73955	73955	73955	72616	71869	"Ho"
"ERR1987379"	54244	50019	50019	50019	49503	48013	"Ho"
"ERR1987380"	48119	43338	43338	43338	42697	40832	"Ho"
"ERR1987381"	51472	46079	46079	46079	45924	45688	"Ho"
"ERR1987382"	60655	47161	47161	47161	46810	46182	"Ho"
"ERR1987383"	58659	51856	51856	51856	51619	51231	"Ho"
"ERR1987384"	56643	44122	44122	44122	43934	42563	"Ho"
"ERR1987385"	58143	47242	47242	47242	46878	46704	"Ho"
"ERR1987386"	46979	40631	40631	40631	40327	38559	"Ho"
"ERR1987387"	58712	50422	50422	50422	50115	49876	"Ho"
"ERR1987388"	54240	42309	42309	42309	41902	41095	"Ho"
"ERR1987389"	51242	46480	46480	46480	46244	46096	"Ho"
"ERR1987390"	51411	35880	35880	35880	35880	34840	"Ho"
"ERR1987391"	66158	53743	53743	53743	53429	53232	"Ho"
"ERR1987392"	57274	32964	32964	32964	32951	32649	"Ho"
"ERR1987393"	48961	43717	43717	43717	43222	42469	"Ho"
"ERR1987394"	48660	28542	28542	28542	28076	27003	"Ho"
"ERR1987395"	50497	46594	46594	46594	45841	45226	"Ho"
"ERR1987396"	44826	27495	27495	27495	27238	23582	"Ho"
"ERR1987397"	47604	42444	42444	42444	42016	41451	"Ho"
"ERR1987398"	48180	35065	35065	35065	34590	32944	"Ho"
"ERR1987399"	48057	43777	43777	43777	43235	42723	"Ho"
"ERR1987400"	42889	30459	30459	30459	30089	28098	"Ho"
"ERR1987401"	46774	39101	39101	39101	38639	38057	"Ho"
"ERR1987402"	61997	37031	37031	37031	36354	34866	"Ho"
"ERR1987403"	55574	43823	43823	43823	43203	42382	"Ho"
"ERR1987404"	59796	42084	42084	42084	41474	38704	"Ho"
"ERR1987405"	59706	44074	44074	44074	43310	42601	"Ho"
"ERR1987406"	46373	38848	38848	38848	37968	36649	"Ho"
"ERR1987407"	8345	4202	4202	4202	4202	4142	"Ho"
"ERR1987408"	57205	41150	41150	41150	40331	37909	"Ho"
"ERR1987409"	49196	41428	41428	41428	40730	39955	"Ho"
"ERR1987410"	52596	41274	41274	41274	40594	38180	"Ho"
"ERR1987411"	65292	47587	47587	47587	46902	46234	"Ho"
"ERR1987412"	46793	37820	37820	37820	36979	34763	"Ho"
"ERR1987413"	27446	18123	18123	18123	17934	17511	"Ho"
"ERR1987414"	52348	38000	38000	38000	37164	34957	"Ho"
"ERR1987415"	63279	47253	47253	47253	46184	45585	"Ho"
"ERR1987416"	47115	36887	36887	36887	36174	34461	"Ho"
"ERR1987417"	29891	27504	27504	27504	27424	26811	"Ho"
"ERR1987418"	41233	35875	35875	35875	35875	34330	"Ho"
"ERR1987419"	35275	33039	33039	33039	33007	32247	"Ho"
"ERR1987420"	50008	41757	41757	41757	41639	41454	"Ho"
"ERR1987421"	42599	39448	39448	39448	39406	38940	"Ho"
"ERR1987422"	56277	43146	43146	43146	42763	41587	"Ho"
"ERR1987423"	20125	14741	14741	14741	14741	14119	"Ho"
"ERR1987424"	47246	32830	32830	32830	32759	32202	"Ho"
"ERR1987425"	68309	44343	44343	44343	44259	43750	"Ho"
"ERR1987426"	55074	44655	44655	44655	44363	42746	"Ho"
"ERR1987427"	49460	42889	42889	42889	42828	41383	"Ho"
"ERR1987428"	52648	43686	43686	43686	43622	42651	"Ho"
"ERR1987429"	19960	16461	16461	16461	16416	16343	"Ho"
"ERR1987430"	50025	42239	42239	42239	41668	38783	"Ho"
"ERR1987431"	72835	39832	39832	39832	39462	38831	"Ho"
"ERR1987432"	54948	43018	43018	43018	42511	40730	"Ho"
"ERR1987433"	49267	43140	43140	43140	42739	42387	"Ho"
"ERR1987434"	46939	40506	40506	40506	39952	37531	"Ho"
"ERR1987435"	33093	29540	29540	29540	29332	28287	"Ho"
"ERR1987436"	38217	34138	34138	34138	33556	32408	"Ho"
"ERR1987437"	44919	39579	39579	39579	39346	38844	"Ho"
"ERR1987438"	55070	42826	42826	42826	42359	38881	"Ho"
"ERR1987439"	90044	54153	54153	54153	53649	53117	"Ho"
"ERR1987440"	32910	29787	29787	29787	29400	27175	"Ho"
"ERR1987441"	95	89	89	89	89	89	"Ho"
"ERR1987442"	39331	36730	36730	36730	35488	33916	"Ho"
"ERR1987443"	60245	48142	48142	48142	46465	44950	"Ho"
"ERR1987444"	72235	62615	62615	62615	60690	60320	"Ho"
"ERR1987445"	52153	46495	46495	46495	45064	44205	"Ho"
"ERR1987446"	51848	43642	43642	43642	42649	42412	"Ho"
"ERR1987447"	54570	46075	46075	46075	44728	43547	"Ho"
"ERR1987448"	60879	46889	46889	46889	45462	45100	"Ho"
"ERR1987449"	34916	30619	30619	30619	29929	29019	"Ho"
"ERR1987450"	123647	102411	102411	102411	98731	98063	"Ho"
"ERR1987451"	48822	43861	43861	43861	42693	41107	"Ho"
"ERR1987452"	40244	32499	32499	32499	31716	31552	"Ho"
"ERR1987453"	48697	43433	43433	43433	42162	40994	"Ho"
"ERR1987454"	31412	29350	29350	29350	28664	28505	"Ho"
"ERR1987455"	54575	46988	46988	46988	45606	43918	"Ho"
"ERR1987456"	35268	27210	27210	27210	26796	26588	"Ho"
