"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"Ines-Groeningen-13-3_S186_L001_R1_001"	12567	12134	12134	12134	12134	11504	"Jurburg_microcosm"
"Ines-Groeningen-15-5_S187_L001_R1_001"	10925	10513	10513	10513	10513	10315	"Jurburg_microcosm"
"Ines-Groeningen-2-3_S57_L001_R1_001"	38862	38793	38793	38793	37908	37067	"Jurburg_microcosm"
"Ines-Groeningen-C11-1_S76_L001_R1_001"	29142	29077	29077	29077	28705	26796	"Jurburg_microcosm"
"Ines-Groeningen-C11-2_S84_L001_R1_001"	84897	84777	84777	84777	81924	75274	"Jurburg_microcosm"
"Ines-Groeningen-C11-3_S92_L001_R1_001"	11782	11386	11386	11386	11386	8743	"Jurburg_microcosm"
"Ines-Groeningen-C11-4_S5_L001_R1_001"	64821	64741	64741	64741	63341	61590	"Jurburg_microcosm"
"Ines-Groeningen-C11-5_S13_L001_R1_001"	5653	5387	5387	5387	5387	3942	"Jurburg_microcosm"
"Ines-Groeningen-C1-1_S1_L001_R1_001"	38415	38317	38317	38317	37467	36727	"Jurburg_microcosm"
"Ines-Groeningen-C12-1_S21_L001_R1_001"	72557	72450	72450	72450	69890	65845	"Jurburg_microcosm"
"Ines-Groeningen-C12-2_S29_L001_R1_001"	42107	42029	42029	42029	40592	38585	"Jurburg_microcosm"
"Ines-Groeningen-C12-3_S37_L001_R1_001"	31811	31732	31732	31732	31382	29486	"Jurburg_microcosm"
"Ines-Groeningen-C12-4_S45_L001_R1_001"	123078	122881	122881	122881	117647	110266	"Jurburg_microcosm"
"Ines-Groeningen-C12-5_S53_L001_R1_001"	5007	4768	4768	4768	4768	3382	"Jurburg_microcosm"
"Ines-Groeningen-C1-2_S9_L001_R1_001"	10108	9448	9448	9448	9448	9375	"Jurburg_microcosm"
"Ines-Groeningen-C13-1_S61_L001_R1_001"	10337	10313	10313	10313	10280	9745	"Jurburg_microcosm"
"Ines-Groeningen-C13-2_S69_L001_R1_001"	35196	35119	35119	35119	34083	31559	"Jurburg_microcosm"
"Ines-Groeningen-C13-3_S77_L001_R1_001"	13032	13001	13001	13001	12950	11998	"Jurburg_microcosm"
"Ines-Groeningen-C13-4_S85_L001_R1_001"	100189	100053	100053	100053	95532	89129	"Jurburg_microcosm"
"Ines-Groeningen-C13-5_S93_L001_R1_001"	10028	9646	9646	9646	9646	9295	"Jurburg_microcosm"
"Ines-Groeningen-C1-3_S17_L001_R1_001"	60134	60043	60043	60043	57263	55526	"Jurburg_microcosm"
"Ines-Groeningen-C14-1_S6_L001_R1_001"	86741	86632	86632	86632	83829	78551	"Jurburg_microcosm"
"Ines-Groeningen-C14-2_S14_L001_R1_001"	13358	12744	12744	12744	12732	10004	"Jurburg_microcosm"
"Ines-Groeningen-C14-3_S22_L001_R1_001"	111688	111551	111551	111551	105454	98477	"Jurburg_microcosm"
"Ines-Groeningen-C14-4_S30_L001_R1_001"	60170	60045	60045	60045	57437	54316	"Jurburg_microcosm"
"Ines-Groeningen-C14-5_S38_L001_R1_001"	57472	57335	57335	57335	56028	52252	"Jurburg_microcosm"
"Ines-Groeningen-C1-4_S25_L001_R1_001"	30434	30315	30315	30315	29771	29202	"Jurburg_microcosm"
"Ines-Groeningen-C15-1_S46_L001_R1_001"	77130	76995	76995	76995	75358	69281	"Jurburg_microcosm"
"Ines-Groeningen-C15-2_S54_L001_R1_001"	8848	8477	8477	8477	8477	7938	"Jurburg_microcosm"
"Ines-Groeningen-C15-3_S62_L001_R1_001"	40659	40591	40591	40591	39995	37313	"Jurburg_microcosm"
"Ines-Groeningen-C15-4_S70_L001_R1_001"	53244	53164	53164	53164	51669	48539	"Jurburg_microcosm"
"Ines-Groeningen-C15-5_S78_L001_R1_001"	38319	38237	38237	38237	37690	35661	"Jurburg_microcosm"
"Ines-Groeningen-C1-5_S33_L001_R1_001"	34006	33917	33917	33917	33566	32405	"Jurburg_microcosm"
"Ines-Groeningen-C2-1_S41_L001_R1_001"	58103	58018	58018	58018	56128	53925	"Jurburg_microcosm"
"Ines-Groeningen-C2-2_S49_L001_R1_001"	10749	10284	10284	10284	10284	7882	"Jurburg_microcosm"
"Ines-Groeningen-C2-4_S65_L001_R1_001"	91384	91198	91198	91198	85863	84103	"Jurburg_microcosm"
"Ines-Groeningen-C2-5_S73_L001_R1_001"	42779	42651	42651	42651	41887	41298	"Jurburg_microcosm"
"Ines-Groeningen-C3-1_S81_L001_R1_001"	160428	160173	160173	160173	149652	145494	"Jurburg_microcosm"
"Ines-Groeningen-C3-2_S89_L001_R1_001"	8638	8255	8255	8255	8255	7761	"Jurburg_microcosm"
"Ines-Groeningen-C3-3_S2_L001_R1_001"	76905	76780	76780	76780	74733	72362	"Jurburg_microcosm"
"Ines-Groeningen-C3-4_S10_L001_R1_001"	4346	3887	3887	3887	3887	3783	"Jurburg_microcosm"
"Ines-Groeningen-C3-5_S18_L001_R1_001"	40350	40296	40296	40296	39364	38365	"Jurburg_microcosm"
"Ines-Groeningen-C4-1_S26_L001_R1_001"	16246	16193	16193	16193	16123	15854	"Jurburg_microcosm"
"Ines-Groeningen-C4-2_S34_L001_R1_001"	49280	49136	49136	49136	48419	46132	"Jurburg_microcosm"
"Ines-Groeningen-C4-3_S42_L001_R1_001"	59760	59676	59676	59676	58178	55311	"Jurburg_microcosm"
"Ines-Groeningen-C4-4_S50_L001_R1_001"	2833	2509	2509	2509	2509	2482	"Jurburg_microcosm"
"Ines-Groeningen-C4-5_S58_L001_R1_001"	40704	40629	40629	40629	39882	38664	"Jurburg_microcosm"
"Ines-Groeningen-C5-1_S66_L001_R1_001"	55783	55690	55690	55690	53704	52601	"Jurburg_microcosm"
"Ines-Groeningen-C5-2_S74_L001_R1_001"	36300	36205	36205	36205	35631	35075	"Jurburg_microcosm"
"Ines-Groeningen-C5-3_S82_L001_R1_001"	71858	71755	71755	71755	69236	67997	"Jurburg_microcosm"
"Ines-Groeningen-C5-4_S90_L001_R1_001"	886	809	809	809	809	809	"Jurburg_microcosm"
"Ines-Groeningen-C5-5_S3_L001_R1_001"	90461	90338	90338	90338	86213	84629	"Jurburg_microcosm"
"Ines-Groeningen-C6-1_S11_L001_R1_001"	6274	5976	5976	5976	5976	5927	"Jurburg_microcosm"
"Ines-Groeningen-C6-2_S19_L001_R1_001"	85134	85019	85019	85019	81100	79905	"Jurburg_microcosm"
"Ines-Groeningen-C6-3_S27_L001_R1_001"	64914	64798	64798	64798	62398	61109	"Jurburg_microcosm"
"Ines-Groeningen-C6-4_S35_L001_R1_001"	103413	103130	103130	103130	98999	96341	"Jurburg_microcosm"
"Ines-Groeningen-C6-5_S43_L001_R1_001"	71168	70979	70979	70979	69218	67978	"Jurburg_microcosm"
"Ines-Groeningen-C7-1_S51_L001_R1_001"	8007	7628	7628	7628	7628	7413	"Jurburg_microcosm"
"Ines-Groeningen-C7-2_S59_L001_R1_001"	66822	66715	66715	66715	64688	62752	"Jurburg_microcosm"
"Ines-Groeningen-C7-3_S67_L001_R1_001"	61448	61346	61346	61346	59384	56496	"Jurburg_microcosm"
"Ines-Groeningen-C7-4_S75_L001_R1_001"	73792	73587	73587	73587	71550	66829	"Jurburg_microcosm"
"Ines-Groeningen-C7-5_S83_L001_R1_001"	107788	107645	107645	107645	102450	99430	"Jurburg_microcosm"
"Ines-Groeningen-C8-1_S91_L001_R1_001"	10136	9794	9794	9794	9794	7466	"Jurburg_microcosm"
"Ines-Groeningen-C8-2_S4_L001_R1_001"	70229	70115	70115	70115	68264	61947	"Jurburg_microcosm"
"Ines-Groeningen-C8-3_S12_L001_R1_001"	6311	5934	5934	5934	5934	5696	"Jurburg_microcosm"
"Ines-Groeningen-C8-4_S20_L001_R1_001"	53872	53804	53804	53804	52246	50368	"Jurburg_microcosm"
"Ines-Groeningen-C8-5_S28_L001_R1_001"	28908	28846	28846	28846	28233	27692	"Jurburg_microcosm"
"Ines-Groeningen-C9-1_S36_L001_R1_001"	45759	45652	45652	45652	45249	40668	"Jurburg_microcosm"
"Ines-Groeningen-C9-2_S44_L001_R1_001"	79069	78945	78945	78945	76771	71497	"Jurburg_microcosm"
"Ines-Groeningen-C9-3_S52_L001_R1_001"	10875	10397	10397	10397	10397	7632	"Jurburg_microcosm"
"Ines-Groeningen-C9-4_S60_L001_R1_001"	49986	49900	49900	49900	48794	45289	"Jurburg_microcosm"
"Ines-Groeningen-C9-5_S68_L001_R1_001"	36568	36487	36487	36487	35538	34114	"Jurburg_microcosm"
