"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"276.001_R1"	20787	20780	20780	20780	20754	19129	"Jurburg_Pig"
"276.002_R1"	14925	14918	14918	14918	14821	14801	"Jurburg_Pig"
"276.003_R1"	16023	16019	16019	16019	16013	15542	"Jurburg_Pig"
"276.004_R1"	17036	17031	17031	17031	16997	16877	"Jurburg_Pig"
"276.005_R1"	23262	23250	23250	23250	23230	23200	"Jurburg_Pig"
"276.006_R1"	11305	11297	11297	11297	11244	11135	"Jurburg_Pig"
"276.007_R1"	17056	17051	17051	17051	17041	16646	"Jurburg_Pig"
"276.008_R1"	22544	22519	22519	22519	22251	22171	"Jurburg_Pig"
"276.009_R1"	102969	102893	102893	102893	101332	101255	"Jurburg_Pig"
"276.010_R1"	90641	90604	90604	90604	88848	86951	"Jurburg_Pig"
"276.013_R1"	47303	47289	47289	47289	46658	46467	"Jurburg_Pig"
"276.014_R1"	70332	70289	70289	70289	69855	65873	"Jurburg_Pig"
"276.015_R1"	79524	79503	79503	79503	78786	78752	"Jurburg_Pig"
"276.016_R1"	97218	97162	97162	97162	96227	96215	"Jurburg_Pig"
"276.017_R1"	67351	67328	67328	67328	66611	63110	"Jurburg_Pig"
"276.018_R1"	27107	27087	27087	27087	27006	25701	"Jurburg_Pig"
"276.019_R1"	116123	116081	116081	116081	115675	114451	"Jurburg_Pig"
"276.020_R1"	91946	91874	91874	91874	88307	88294	"Jurburg_Pig"
"276.021_R1"	135227	135190	135190	135190	133018	131444	"Jurburg_Pig"
"276.022_R1"	55474	55425	55425	55425	54948	54833	"Jurburg_Pig"
"276.025_R1"	108977	108935	108935	108935	108452	106791	"Jurburg_Pig"
"276.026_R1"	95820	95766	95766	95766	94565	88587	"Jurburg_Pig"
"276.027_R1"	161967	161914	161914	161914	160049	159577	"Jurburg_Pig"
"276.028_R1"	100860	100827	100827	100827	99837	99826	"Jurburg_Pig"
"276.029_R1"	129668	129607	129607	129607	128093	127242	"Jurburg_Pig"
"276.030_R1"	101723	101694	101694	101694	100407	99551	"Jurburg_Pig"
"276.031_R1"	113009	112955	112955	112955	109825	106995	"Jurburg_Pig"
"276.032_R1"	103664	103624	103624	103624	101183	100053	"Jurburg_Pig"
"276.033_R1"	106682	106625	106625	106625	103219	102509	"Jurburg_Pig"
"276.034_R1"	80309	80277	80277	80277	79158	76911	"Jurburg_Pig"
"276.037_R1"	33500	33476	33476	33476	32807	32799	"Jurburg_Pig"
"276.038_R1"	156947	156841	156841	156841	151049	151049	"Jurburg_Pig"
"276.039_R1"	181780	181691	181691	181691	177300	176318	"Jurburg_Pig"
"276.040_R1"	126988	126850	126850	126850	122881	122881	"Jurburg_Pig"
"276.041_R1"	132529	132500	132500	132500	129652	124354	"Jurburg_Pig"
"276.042_R1"	40908	40889	40889	40889	40328	40318	"Jurburg_Pig"
"276.043_R1"	17987	17976	17976	17976	17656	17656	"Jurburg_Pig"
"276.044_R1"	44932	44892	44892	44892	44308	43478	"Jurburg_Pig"
"276.045_R1"	107143	107050	107050	107050	103465	103465	"Jurburg_Pig"
"276.046_R1"	102606	102562	102562	102562	100960	98687	"Jurburg_Pig"
"276.049_R1"	27095	27069	27069	27069	26238	26235	"Jurburg_Pig"
"276.050_R1"	41699	41677	41677	41677	40652	40652	"Jurburg_Pig"
"276.051_R1"	93721	93661	93661	93661	90403	90403	"Jurburg_Pig"
"276.052_R1"	20294	20270	20270	20270	20058	19988	"Jurburg_Pig"
"276.053_R1"	53914	53863	53863	53863	51734	51730	"Jurburg_Pig"
"276.054_R1"	18802	18798	18798	18798	18585	18582	"Jurburg_Pig"
"276.055_R1"	100861	100833	100833	100833	98898	98793	"Jurburg_Pig"
"276.056_R1"	92228	92182	92182	92182	89948	89895	"Jurburg_Pig"
"276.057_R1"	102092	102011	102011	102011	97416	97284	"Jurburg_Pig"
"276.058_R1"	78724	78672	78672	78672	75590	75584	"Jurburg_Pig"
"276.061_R1"	135491	135435	135435	135435	134291	132672	"Jurburg_Pig"
"276.062_R1"	201829	201730	201730	201730	187289	183360	"Jurburg_Pig"
"276.063_R1"	152462	152422	152422	152422	150439	147828	"Jurburg_Pig"
"276.064_R1"	128679	128632	128632	128632	123420	121817	"Jurburg_Pig"
"276.065_R1"	180318	180242	180242	180242	176560	171713	"Jurburg_Pig"
"276.066_R1"	125497	125420	125420	125420	124108	122279	"Jurburg_Pig"
"276.067_R1"	160302	160215	160215	160215	157272	155415	"Jurburg_Pig"
"276.068_R1"	49355	49327	49327	49327	48484	48132	"Jurburg_Pig"
"276.069_R1"	165481	165384	165384	165384	157422	156270	"Jurburg_Pig"
"276.070_R1"	34236	34225	34225	34225	33721	33254	"Jurburg_Pig"
"276.073_R1"	28218	28206	28206	28206	28005	27923	"Jurburg_Pig"
"276.074_R1"	26437	26424	26424	26424	26020	25852	"Jurburg_Pig"
"276.075_R1"	33955	33939	33939	33939	33916	33144	"Jurburg_Pig"
"276.076_R1"	29571	29541	29541	29541	29157	29152	"Jurburg_Pig"
"276.077_R1"	17037	17036	17036	17036	16960	16516	"Jurburg_Pig"
"276.078_R1"	10884	10874	10874	10874	10874	10761	"Jurburg_Pig"
"276.079_R1"	30582	30564	30564	30564	30540	29965	"Jurburg_Pig"
"276.080_R1"	18209	18198	18198	18198	18150	17984	"Jurburg_Pig"
"276.081_R1"	26044	26030	26030	26030	25881	25505	"Jurburg_Pig"
"276.082_R1"	32642	32631	32631	32631	32242	31886	"Jurburg_Pig"
"276.085_R1"	98094	98077	98077	98077	96482	95169	"Jurburg_Pig"
"276.086_R1"	34037	34029	34029	34029	33620	33413	"Jurburg_Pig"
"276.087_R1"	56359	56331	56331	56331	55345	55041	"Jurburg_Pig"
"276.088_R1"	28723	28705	28705	28705	27889	27340	"Jurburg_Pig"
"276.089_R1"	39637	39632	39632	39632	39321	38957	"Jurburg_Pig"
"276.091_R1"	159294	159188	159188	159188	156419	154179	"Jurburg_Pig"
"276.093_R1"	17657	17655	17655	17655	17655	17655	"Jurburg_Pig"
"276.193_R1"	50970	50942	50942	50942	48751	48451	"Jurburg_Pig"
"276.194_R1"	12718	12711	12711	12711	12658	12452	"Jurburg_Pig"
"276.195_R1"	19825	19812	19812	19812	19688	19461	"Jurburg_Pig"
"276.196_R1"	28815	28790	28790	28790	28563	28530	"Jurburg_Pig"
"276.197_R1"	47732	47707	47707	47707	47242	44955	"Jurburg_Pig"
"276.198_R1"	13707	13704	13704	13704	13661	13243	"Jurburg_Pig"
"276.199_R1"	14817	14815	14815	14815	14651	14159	"Jurburg_Pig"
"276.200_R1"	13203	13198	13198	13198	13111	12885	"Jurburg_Pig"
"276.201_R1"	12615	12611	12611	12611	12490	12328	"Jurburg_Pig"
"276.202_R1"	10485	10482	10482	10482	10463	9161	"Jurburg_Pig"
"276.205_R1"	19110	19103	19103	19103	19012	18683	"Jurburg_Pig"
"276.206_R1"	14088	14080	14080	14080	13752	13684	"Jurburg_Pig"
"276.207_R1"	16156	16151	16151	16151	15927	15829	"Jurburg_Pig"
"276.208_R1"	15836	15829	15829	15829	15779	15374	"Jurburg_Pig"
"276.209_R1"	39463	39444	39444	39444	38731	37852	"Jurburg_Pig"
"276.210_R1"	34218	34210	34210	34210	33351	31571	"Jurburg_Pig"
"276.211_R1"	19003	18994	18994	18994	18751	18364	"Jurburg_Pig"
"276.212_R1"	13886	13879	13879	13879	13579	13544	"Jurburg_Pig"
"276.213_R1"	22144	22139	22139	22139	21852	20739	"Jurburg_Pig"
"276.214_R1"	9687	9684	9684	9684	9650	9002	"Jurburg_Pig"
"276.217_R1"	18474	18460	18460	18460	18418	18143	"Jurburg_Pig"
"276.218_R1"	12557	12551	12551	12551	12529	12375	"Jurburg_Pig"
"276.219_R1"	17689	17678	17678	17678	17574	17427	"Jurburg_Pig"
"276.220_R1"	14386	14372	14372	14372	14312	14250	"Jurburg_Pig"
"276.221_R1"	19075	19065	19065	19065	18981	18776	"Jurburg_Pig"
"276.222_R1"	13810	13799	13799	13799	13799	13523	"Jurburg_Pig"
"276.223_R1"	24626	24616	24616	24616	24198	23681	"Jurburg_Pig"
"276.224_R1"	24119	24110	24110	24110	23674	23492	"Jurburg_Pig"
"276.225_R1"	29081	29064	29064	29064	28237	27973	"Jurburg_Pig"
"276.226_R1"	13459	13456	13456	13456	13447	13151	"Jurburg_Pig"
"276.229_R1"	18214	18210	18210	18210	17976	17248	"Jurburg_Pig"
"276.230_R1"	10801	10798	10798	10798	10528	10286	"Jurburg_Pig"
"276.231_R1"	24384	24372	24372	24372	24125	23251	"Jurburg_Pig"
