"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"10.1-R1.fastq"	207956	207096	207096	207096	204006	203523	"Jurburg_portugal"
"10.2-R1.fastq"	205782	205177	205177	205177	202043	201454	"Jurburg_portugal"
"10.3-R1.fastq"	201614	200587	200587	200587	197426	197044	"Jurburg_portugal"
"10.4-R1.fastq"	58929	58914	58914	58914	58445	58323	"Jurburg_portugal"
"10.5-R1.fastq"	223293	222004	222004	222004	218815	217663	"Jurburg_portugal"
"11.1-R1.fastq"	122662	122350	122350	122350	121084	120815	"Jurburg_portugal"
"11.2-R1.fastq"	176438	175783	175783	175783	173170	172790	"Jurburg_portugal"
"11.3-R1.fastq"	110313	110085	110085	110085	108688	108550	"Jurburg_portugal"
"11.4-R1.fastq"	166474	165444	165444	165444	161214	161021	"Jurburg_portugal"
"11.5-R1.fastq"	219810	218757	218757	218757	211865	211334	"Jurburg_portugal"
"1.1-R1.fastq"	155268	154675	154675	154675	150091	149832	"Jurburg_portugal"
"12.1-R1.fastq"	156112	155622	155622	155622	154467	153837	"Jurburg_portugal"
"12.2-R1.fastq"	180542	179805	179805	179805	177212	176586	"Jurburg_portugal"
"12.3-R1.fastq"	196569	195783	195783	195783	193153	192266	"Jurburg_portugal"
"12.4-R1.fastq"	191301	190554	190554	190554	188016	187248	"Jurburg_portugal"
"12.5-R1.fastq"	192376	191735	191735	191735	189633	188965	"Jurburg_portugal"
"1.2-R1.fastq"	134069	133722	133722	133722	130803	130569	"Jurburg_portugal"
"13.1-R1.fastq"	167222	166540	166540	166540	164692	164218	"Jurburg_portugal"
"13.2-R1.fastq"	170768	169978	169978	169978	166540	166195	"Jurburg_portugal"
"13.3-R1.fastq"	174768	173823	173823	173823	170842	170335	"Jurburg_portugal"
"13.4-R1.fastq"	735	719	719	719	719	719	"Jurburg_portugal"
"13.5-R1.fastq"	183625	182565	182565	182565	179336	178839	"Jurburg_portugal"
"1.3-R1.fastq"	161664	160946	160946	160946	157279	157115	"Jurburg_portugal"
"14.1-R1.fastq"	205647	204855	204855	204855	202856	202031	"Jurburg_portugal"
"14.3-R1.fastq"	190525	189948	189948	189948	187563	186946	"Jurburg_portugal"
"14.4-R1.fastq"	7440	7384	7384	7384	7335	7311	"Jurburg_portugal"
"14.5-R1.fastq"	192628	191842	191842	191842	189715	188816	"Jurburg_portugal"
"1.4-R1.fastq"	200256	199465	199465	199465	196690	196185	"Jurburg_portugal"
"15.1-R1.fastq"	196041	195272	195272	195272	192658	191941	"Jurburg_portugal"
"15.2-R1.fastq"	148773	147741	147741	147741	145889	145346	"Jurburg_portugal"
"15.4-R1.fastq"	210086	208647	208647	208647	201628	198891	"Jurburg_portugal"
"15.5-R1.fastq"	146409	145917	145917	145917	143644	143312	"Jurburg_portugal"
"15.6-R1.fastq"	162602	162120	162120	162120	160254	159906	"Jurburg_portugal"
"1.5-R1.fastq"	192985	191861	191861	191861	188328	187881	"Jurburg_portugal"
"16.1-R1.fastq"	162005	161298	161298	161298	159517	158678	"Jurburg_portugal"
"16.2-R1.fastq"	195330	194307	194307	194307	191745	191371	"Jurburg_portugal"
"16.3-R1.fastq"	177858	177238	177238	177238	174662	174107	"Jurburg_portugal"
"16.4-R1.fastq"	183773	182961	182961	182961	180028	179343	"Jurburg_portugal"
"16.5-R1.fastq"	232906	232103	232103	232103	228267	226432	"Jurburg_portugal"
"17.1-R1.fastq"	163519	163058	163058	163058	161469	160839	"Jurburg_portugal"
"17.2-R1.fastq"	182455	181819	181819	181819	179213	178732	"Jurburg_portugal"
"17.3-R1.fastq"	206240	205133	205133	205133	202180	201708	"Jurburg_portugal"
"17.4-R1.fastq"	206233	205389	205389	205389	202554	201918	"Jurburg_portugal"
"17.5-R1.fastq"	184301	183762	183762	183762	181549	180612	"Jurburg_portugal"
"18.1-R1.fastq"	211306	210222	210222	210222	207261	206627	"Jurburg_portugal"
"18.2-R1.fastq"	221187	220198	220198	220198	215894	215517	"Jurburg_portugal"
"18.3-R1.fastq"	167102	166418	166418	166418	164523	164144	"Jurburg_portugal"
"18.4-R1.fastq"	47757	47462	47462	47462	47462	47438	"Jurburg_portugal"
"18.5-R1.fastq"	155818	154655	154655	154655	152157	151637	"Jurburg_portugal"
"2.1-R1.fastq"	143696	143142	143142	143142	141754	141474	"Jurburg_portugal"
"2.2-R1.fastq"	157246	156823	156823	156823	155335	155166	"Jurburg_portugal"
"2.3-R1.fastq"	209782	208842	208842	208842	205305	205034	"Jurburg_portugal"
"2.4-R1.fastq"	152300	151748	151748	151748	150232	149821	"Jurburg_portugal"
"2.5-R1.fastq"	184309	183658	183658	183658	181522	180658	"Jurburg_portugal"
"3.1-R1.fastq"	155691	155275	155275	155275	153006	152638	"Jurburg_portugal"
"3.2-R1.fastq"	177398	176566	176566	176566	173385	173080	"Jurburg_portugal"
"3.3-R1.fastq"	166380	165813	165813	165813	163073	162793	"Jurburg_portugal"
"3.4-R1.fastq"	158833	158279	158279	158279	155672	155283	"Jurburg_portugal"
"3.5-R1.fastq"	200189	199216	199216	199216	196175	195335	"Jurburg_portugal"
"4.1-R1.fastq"	178241	177651	177651	177651	175730	175099	"Jurburg_portugal"
"4.2-R1.fastq"	187079	186233	186233	186233	183867	183373	"Jurburg_portugal"
"4.3-R1.fastq"	186187	185479	185479	185479	183086	182599	"Jurburg_portugal"
"4.4-R1.fastq"	209045	208369	208369	208369	205427	204676	"Jurburg_portugal"
"4.5-R1.fastq"	148133	147814	147814	147814	145594	145068	"Jurburg_portugal"
"5.1-R1.fastq"	146963	146252	146252	146252	144140	143888	"Jurburg_portugal"
"5.2-R1.fastq"	143279	142752	142752	142752	139310	139089	"Jurburg_portugal"
"5.3-R1.fastq"	187449	186515	186515	186515	182757	182384	"Jurburg_portugal"
"5.4-R1.fastq"	144963	144403	144403	144403	141474	141309	"Jurburg_portugal"
"5.5-R1.fastq"	173555	172163	172163	172163	169260	168963	"Jurburg_portugal"
"6.1-R1.fastq"	197977	197054	197054	197054	194769	194257	"Jurburg_portugal"
"6.2-R1.fastq"	211715	210809	210809	210809	207728	207440	"Jurburg_portugal"
"6.3-R1.fastq"	195254	194425	194425	194425	192242	191703	"Jurburg_portugal"
"6.4-R1.fastq"	94	94	94	94	94	94	"Jurburg_portugal"
"6.5-R1.fastq"	180770	180028	180028	180028	178342	177791	"Jurburg_portugal"
"7.1-R1.fastq"	188086	187185	187185	187185	183795	183237	"Jurburg_portugal"
"7.2-R1.fastq"	154796	154397	154397	154397	152700	152028	"Jurburg_portugal"
"7.4-R1.fastq"	174888	174108	174108	174108	172061	171660	"Jurburg_portugal"
"7.5-R1.fastq"	167151	166741	166741	166741	164296	163688	"Jurburg_portugal"
"7.6-R1.fastq"	173664	173151	173151	173151	171666	171167	"Jurburg_portugal"
"8.1-R1.fastq"	178270	177580	177580	177580	174128	173718	"Jurburg_portugal"
"8.2-R1.fastq"	186420	185457	185457	185457	183305	182609	"Jurburg_portugal"
"8.3-R1.fastq"	214452	212748	212748	212748	209278	208497	"Jurburg_portugal"
"8.4-R1.fastq"	168849	168104	168104	168104	165941	164892	"Jurburg_portugal"
"8.5-R1.fastq"	208615	208010	208010	208010	204333	203318	"Jurburg_portugal"
"9.1-R1.fastq"	149567	149200	149200	149200	147972	147379	"Jurburg_portugal"
"9.2-R1.fastq"	180802	180184	180184	180184	177368	176768	"Jurburg_portugal"
"9.3-R1.fastq"	178194	176973	176973	176973	175246	174572	"Jurburg_portugal"
"9.4-R1.fastq"	181766	180808	180808	180808	178963	178281	"Jurburg_portugal"
"9.5-R1.fastq"	182864	181979	181979	181979	179815	179124	"Jurburg_portugal"
"FBC1-R1.fastq"	154345	154068	154068	154068	152709	152221	"Jurburg_portugal"
"FMA1-R1.fastq"	194657	193941	193941	193941	188024	187815	"Jurburg_portugal"
