"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR5007602_2"	107850	57558	57558	57558	56940	56940	"Kennedy"
"SRR5007603_2"	92022	49294	49294	49294	48826	48826	"Kennedy"
"SRR5007604_2"	121252	65131	65131	65131	64510	64510	"Kennedy"
"SRR5007605_2"	108237	57568	57568	57568	56685	56685	"Kennedy"
"SRR5007606_2"	82860	44514	44514	44514	44441	44441	"Kennedy"
"SRR5007607_2"	77082	41547	41547	41547	40659	40659	"Kennedy"
"SRR5007608_2"	104173	56270	56270	56270	55128	55128	"Kennedy"
"SRR5007609_2"	174743	92220	92220	92220	90365	90365	"Kennedy"
"SRR5007610_2"	92460	49209	49209	49209	47514	47514	"Kennedy"
"SRR5007611_2"	168628	89903	89903	89903	89582	89570	"Kennedy"
"SRR5007612_2"	141297	74294	74294	74294	73730	73730	"Kennedy"
"SRR5007613_2"	130757	70674	70674	70674	69973	69973	"Kennedy"
"SRR5007614_2"	174060	92424	92424	92424	89932	89928	"Kennedy"
"SRR5007615_2"	128813	69008	69008	69008	68736	68736	"Kennedy"
"SRR5007616_2"	123958	66120	66120	66120	65220	65220	"Kennedy"
"SRR5007617_2"	215946	115759	115759	115759	115039	115039	"Kennedy"
"SRR5007618_2"	144381	76608	76608	76608	75483	75483	"Kennedy"
"SRR5007619_2"	56413	29666	29666	29666	29252	29252	"Kennedy"
"SRR5007620_2"	78302	42300	42300	42300	41566	41566	"Kennedy"
"SRR5007621_2"	49210	25627	25627	25627	25451	25451	"Kennedy"
"SRR5007622_2"	64855	33143	33143	33143	33048	33048	"Kennedy"
"SRR5007623_2"	219404	115701	115701	115701	113613	113600	"Kennedy"
"SRR5007624_2"	59516	32003	32003	32003	31697	31697	"Kennedy"
"SRR5007625_2"	64836	34802	34802	34802	34608	34608	"Kennedy"
"SRR5007626_2"	96746	51814	51814	51814	51565	51565	"Kennedy"
"SRR5007627_2"	86740	46814	46814	46814	46694	46694	"Kennedy"
"SRR5007628_2"	125541	66550	66550	66550	65834	65834	"Kennedy"
"SRR5007629_2"	78449	41516	41516	41516	40562	40562	"Kennedy"
"SRR5007630_2"	136178	71648	71648	71648	71130	71130	"Kennedy"
"SRR5007631_2"	114178	61691	61691	61691	61520	61520	"Kennedy"
"SRR5007632_2"	124797	65975	65975	65975	65475	65475	"Kennedy"
"SRR5007633_2"	71247	38189	38189	38189	37981	37981	"Kennedy"
"SRR5007634_2"	117223	62180	62180	62180	61653	61653	"Kennedy"
"SRR5007635_2"	75427	40574	40574	40574	40401	40401	"Kennedy"
"SRR5007636_2"	86769	46539	46539	46539	46246	46239	"Kennedy"
"SRR5007637_2"	152827	82167	82167	82167	81390	81390	"Kennedy"
"SRR5007638_2"	147891	78717	78717	78717	77003	77003	"Kennedy"
"SRR5007639_2"	63536	34948	34948	34948	34542	34542	"Kennedy"
"SRR5007640_2"	68932	35741	35741	35741	35646	35646	"Kennedy"
"SRR5007641_2"	170064	89749	89749	89749	88562	88553	"Kennedy"
"SRR5007642_2"	92026	49186	49186	49186	48828	48828	"Kennedy"
"SRR5007643_2"	114099	61545	61545	61545	60341	60341	"Kennedy"
"SRR5007644_2"	81430	43364	43364	43364	42591	42591	"Kennedy"
"SRR5007645_2"	173402	91556	91556	91556	91227	91227	"Kennedy"
"SRR5007646_2"	53528	28747	28747	28747	28561	28561	"Kennedy"
"SRR5007647_2"	96079	51623	51623	51623	51273	51273	"Kennedy"
"SRR5007648_2"	61750	33427	33427	33427	32897	32897	"Kennedy"
"SRR5007649_2"	81314	43759	43759	43759	43651	43651	"Kennedy"
"SRR5007650_2"	102584	55378	55378	55378	54821	54821	"Kennedy"
"SRR5007651_2"	92341	49518	49518	49518	48667	48667	"Kennedy"
"SRR5007652_2"	127038	67281	67281	67281	66698	66698	"Kennedy"
"SRR5007653_2"	180294	95280	95280	95280	93093	93079	"Kennedy"
"SRR5007654_2"	110171	59027	59027	59027	58310	58310	"Kennedy"
"SRR5007655_2"	106074	57807	57807	57807	57206	57206	"Kennedy"
"SRR5007656_2"	83443	45041	45041	45041	44747	44747	"Kennedy"
"SRR5007657_2"	95337	51537	51537	51537	51112	51112	"Kennedy"
"SRR5007658_2"	150938	80083	80083	80083	78631	78631	"Kennedy"
"SRR5007659_2"	82415	43936	43936	43936	43617	43617	"Kennedy"
"SRR5007660_2"	111950	59863	59863	59863	58859	58859	"Kennedy"
"SRR5007661_2"	71152	38217	38217	38217	37309	37309	"Kennedy"
"SRR5007662_2"	123447	66390	66390	66390	65539	65539	"Kennedy"
