"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"t10_10"	14330	14283	14283	14283	12360	12360	"Kruistuim"
"t10_11"	23382	23313	23313	23313	20333	20333	"Kruistuim"
"t10_12"	32201	32099	32099	32099	27052	27050	"Kruistuim"
"t10_14"	52386	52226	52226	52226	45207	45153	"Kruistuim"
"t10_15"	51929	51765	51765	51765	46041	46022	"Kruistuim"
"t10_16"	71398	71185	71185	71185	63378	63336	"Kruistuim"
"t10_17"	62394	62198	62198	62198	54884	54847	"Kruistuim"
"t10_18"	71508	71307	71307	71307	62690	62671	"Kruistuim"
"t10_19"	38565	38450	38450	38450	33143	33111	"Kruistuim"
"t10_1"	59325	59166	59166	59166	50668	50652	"Kruistuim"
"t10_20"	23373	23320	23320	23320	19665	19665	"Kruistuim"
"t10_21"	30971	30870	30870	30870	26290	26278	"Kruistuim"
"t10_22"	47108	46956	46956	46956	39281	39268	"Kruistuim"
"t10_23"	40373	40215	40215	40215	33555	33537	"Kruistuim"
"t10_24"	40538	40436	40436	40436	34169	34138	"Kruistuim"
"t10_2"	66073	65843	65843	65843	57735	57702	"Kruistuim"
"t10_3"	47588	47475	47475	47475	41328	41328	"Kruistuim"
"t10_4"	59443	59284	59284	59284	51648	51637	"Kruistuim"
"t10_5"	42835	42702	42702	42702	36742	36742	"Kruistuim"
"t10_6"	83782	83579	83579	83579	70794	70785	"Kruistuim"
"t10_7"	56008	55876	55876	55876	46901	46878	"Kruistuim"
"t10_8"	16338	16299	16299	16299	14326	14320	"Kruistuim"
"t10_9"	25631	25556	25556	25556	21591	21586	"Kruistuim"
"t1_10"	51987	51835	51835	51835	47467	47396	"Kruistuim"
"t11_10"	55881	55721	55721	55721	46290	46261	"Kruistuim"
"t11_11"	60905	60703	60703	60703	50859	50825	"Kruistuim"
"t11_12"	27607	27515	27515	27515	24155	24155	"Kruistuim"
"t11_14"	31897	31818	31818	31818	28325	28325	"Kruistuim"
"t11_15"	36914	36807	36807	36807	32727	32722	"Kruistuim"
"t11_16"	92483	92199	92199	92199	79339	79301	"Kruistuim"
"t11_17"	24764	24688	24688	24688	22213	22205	"Kruistuim"
"t11_18"	29667	29581	29581	29581	25822	25815	"Kruistuim"
"t11_19"	25162	25033	25033	25033	21357	21343	"Kruistuim"
"t1_11"	38431	38312	38312	38312	35266	35229	"Kruistuim"
"t11_20"	51972	51775	51775	51775	42842	42842	"Kruistuim"
"t11_21"	38436	38290	38290	38290	31079	31075	"Kruistuim"
"t11_22"	18472	18435	18435	18435	15478	15473	"Kruistuim"
"t11_23"	55993	55821	55821	55821	46683	46674	"Kruistuim"
"t11_24"	36613	36476	36476	36476	31044	31044	"Kruistuim"
"t1_12"	56849	56669	56669	56669	51905	51830	"Kruistuim"
"t11_2"	44039	43924	43924	43924	39370	39370	"Kruistuim"
"t1_13"	31149	31058	31058	31058	28229	28204	"Kruistuim"
"t11_3"	52421	52279	52279	52279	45042	45033	"Kruistuim"
"t1_14"	83807	83548	83548	83548	75322	75251	"Kruistuim"
"t11_4"	60560	60397	60397	60397	52322	52297	"Kruistuim"
"t1_15"	47134	47003	47003	47003	42737	42681	"Kruistuim"
"t11_5"	32954	32856	32856	32856	28160	28153	"Kruistuim"
"t1_16"	35945	35846	35846	35846	32559	32520	"Kruistuim"
"t11_6"	47589	47454	47454	47454	41164	41162	"Kruistuim"
"t1_17"	26752	26688	26688	26688	24439	24409	"Kruistuim"
"t11_7"	42960	42845	42845	42845	36722	36716	"Kruistuim"
"t1_18"	23195	23110	23110	23110	21425	21425	"Kruistuim"
"t11_8"	32019	31935	31935	31935	27700	27674	"Kruistuim"
"t1_19"	28572	28493	28493	28493	24511	24490	"Kruistuim"
"t11_9"	43285	43146	43146	43146	35824	35820	"Kruistuim"
"t1_1"	18162	18116	18116	18116	16906	16891	"Kruistuim"
"t1_20"	17261	17199	17199	17199	14936	14933	"Kruistuim"
"t1_21"	15146	15100	15100	15100	14098	14086	"Kruistuim"
"t1_22"	17630	17587	17587	17587	16711	16695	"Kruistuim"
"t1_23"	18913	18865	18865	18865	17735	17716	"Kruistuim"
"t1_24"	13401	13364	13364	13364	12721	12710	"Kruistuim"
"t1_2"	7903	7872	7872	7872	7573	7573	"Kruistuim"
"t1_3"	23975	23904	23904	23904	22097	22062	"Kruistuim"
"t1_4"	25683	25596	25596	25596	23750	23729	"Kruistuim"
"t1_5"	27181	27096	27096	27096	24865	24842	"Kruistuim"
"t1_6"	31799	31697	31697	31697	28974	28942	"Kruistuim"
"t1_7"	34920	34790	34790	34790	31827	31788	"Kruistuim"
"t1_8"	34088	33993	33993	33993	31264	31244	"Kruistuim"
"t1_9"	34505	34392	34392	34392	31401	31369	"Kruistuim"
"t2_10"	14001	13971	13971	13971	13529	13511	"Kruistuim"
"t2_11"	6712	6693	6693	6693	6372	6350	"Kruistuim"
"t2_12"	15322	15265	15265	15265	14592	14543	"Kruistuim"
"t2_14"	28786	28701	28701	28701	26304	26259	"Kruistuim"
"t2_15"	16311	16261	16261	16261	15374	15357	"Kruistuim"
"t2_16"	24107	24031	24031	24031	22165	22149	"Kruistuim"
"t2_17"	16244	16201	16201	16201	15384	15372	"Kruistuim"
"t2_18"	21431	21370	21370	21370	19923	19923	"Kruistuim"
"t2_19"	26222	26141	26141	26141	21878	21876	"Kruistuim"
"t2_1"	19116	19046	19046	19046	17772	17760	"Kruistuim"
"t2_20"	16978	16925	16925	16925	15738	15724	"Kruistuim"
"t2_21"	23183	23105	23105	23105	21902	21845	"Kruistuim"
"t2_22"	33233	33156	33156	33156	30947	30856	"Kruistuim"
"t2_23"	35574	35475	35475	35475	33254	33118	"Kruistuim"
"t2_2"	60	60	60	60	60	60	"Kruistuim"
"t2_3"	26537	26454	26454	26454	24462	24436	"Kruistuim"
"t2_4"	24406	24320	24320	24320	22546	22530	"Kruistuim"
"t2_5"	29975	29889	29889	29889	27322	27300	"Kruistuim"
"t2_6"	16185	16130	16130	16130	15132	15122	"Kruistuim"
"t2_7"	19838	19770	19770	19770	18470	18425	"Kruistuim"
"t2_8"	12795	12760	12760	12760	12386	12344	"Kruistuim"
"t2_9"	17491	17433	17433	17433	16542	16512	"Kruistuim"
"t3_10"	12748	12698	12698	12698	11475	11457	"Kruistuim"
"t3_11"	23910	23846	23846	23846	21083	21059	"Kruistuim"
"t3_12"	14530	14479	14479	14479	13316	13312	"Kruistuim"
"t3_13"	29991	29902	29902	29902	27088	27071	"Kruistuim"
"t3_14"	16694	16639	16639	16639	15379	15366	"Kruistuim"
"t3_15"	23894	23823	23823	23823	21746	21726	"Kruistuim"
"t3_16"	21121	21047	21047	21047	19617	19617	"Kruistuim"
"t3_17"	17869	17803	17803	17803	16601	16595	"Kruistuim"
"t3_18"	16750	16696	16696	16696	15849	15832	"Kruistuim"
