"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR9129408"	7371	7355	7355	7355	7237	7237	"study"
"SRR9129409"	9868	9818	9818	9818	9548	9548	"study"
"SRR9129410"	7548	7521	7521	7521	7402	7402	"study"
"SRR9129411"	9409	9388	9388	9388	9173	9173	"study"
"SRR9129412"	10065	10011	10011	10011	9834	9834	"study"
"SRR9129413"	7889	7881	7881	7881	7685	7685	"study"
"SRR9129414"	7679	7663	7663	7663	7516	7516	"study"
"SRR9129415"	11029	10988	10988	10988	10671	10671	"study"
"SRR9129416"	9205	9189	9189	9189	9064	9064	"study"
"SRR9129417"	8180	8163	8163	8163	8050	8050	"study"
"SRR9129418"	7175	7170	7170	7170	6971	6971	"study"
"SRR9129419"	10630	10595	10595	10595	10284	10284	"study"
"SRR9129420"	9999	9956	9956	9956	9935	9935	"study"
"SRR9129421"	9914	9807	9807	9807	9733	9733	"study"
"SRR9129422"	9673	9627	9627	9627	9562	9562	"study"
"SRR9129423"	9634	9550	9550	9550	9541	9480	"study"
"SRR9129424"	9472	9393	9393	9393	9012	9012	"study"
"SRR9129425"	7472	7388	7388	7388	7380	7380	"study"
"SRR9129426"	9481	9412	9412	9412	9261	9261	"study"
"SRR9129427"	7917	7902	7902	7902	7776	7776	"study"
"SRR9129428"	9014	8995	8995	8995	8995	8995	"study"
"SRR9129429"	9501	9475	9475	9475	9475	9475	"study"
"SRR9129430"	7212	7180	7180	7180	7180	7161	"study"
"SRR9129431"	8750	8740	8740	8740	8740	8697	"study"
"SRR9129432"	9542	9506	9506	9506	9478	9478	"study"
"SRR9129433"	7048	7013	7013	7013	7006	6984	"study"
"SRR9129434"	8485	8414	8414	8414	8398	8382	"study"
"SRR9129435"	8586	8566	8566	8566	8545	8512	"study"
"SRR9129436"	10109	10029	10029	10029	10013	10013	"study"
"SRR9129437"	9575	9478	9478	9478	9441	9441	"study"
