"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR8206197_1"	40774	40767	40767	40767	40193	40022	"study"
"SRR8206198_1"	52914	52906	52906	52906	52014	51802	"study"
"SRR8206199_1"	55520	55505	55505	55505	54668	54436	"study"
"SRR8206200_1"	41618	41610	41610	41610	41116	40970	"study"
"SRR8206201_1"	35712	35704	35704	35704	35306	35159	"study"
"SRR8206202_1"	40453	40444	40444	40444	40010	39828	"study"
"SRR8206203_1"	40847	40840	40840	40840	40309	40162	"study"
"SRR8206204_1"	41559	41552	41552	41552	41066	40919	"study"
"SRR8206205_1"	42638	42626	42626	42626	42158	41875	"study"
"SRR8206206_1"	42373	42361	42361	42361	41829	41695	"study"
"SRR8206207_1"	46522	46511	46511	46511	45850	45731	"study"
"SRR8206208_1"	41323	41314	41314	41314	40450	40312	"study"
"SRR8206209_1"	46299	46292	46292	46292	45598	45464	"study"
"SRR8206210_1"	51569	51552	51552	51552	50798	50619	"study"
"SRR8206211_1"	35026	35020	35020	35020	34590	34497	"study"
"SRR8206212_1"	44502	44483	44483	44483	43869	43753	"study"
"SRR8206213_1"	38994	38980	38980	38980	38478	38382	"study"
"SRR8206214_1"	55248	55228	55228	55228	54260	54130	"study"
"SRR8206215_1"	70290	70278	70278	70278	69152	68845	"study"
"SRR8206216_1"	50758	50746	50746	50746	50285	50017	"study"
"SRR8206217_1"	49700	49687	49687	49687	49040	48805	"study"
"SRR8206218_1"	44829	44824	44824	44824	44346	44179	"study"
"SRR8206219_1"	51065	51055	51055	51055	50502	50292	"study"
"SRR8206220_1"	46770	46764	46764	46764	46201	45982	"study"
"SRR8206221_1"	46518	46503	46503	46503	45849	45613	"study"
"SRR8206222_1"	44940	44939	44939	44939	44391	44116	"study"
"SRR8206223_1"	41013	41003	41003	41003	40622	40577	"study"
"SRR8206224_1"	56305	56281	56281	56281	55609	55478	"study"
"SRR8206225_1"	60691	60675	60675	60675	59724	59391	"study"
"SRR8206226_1"	51528	51521	51521	51521	50744	50611	"study"
"SRR8206227_1"	43606	43596	43596	43596	42861	42696	"study"
"SRR8206228_1"	48137	48127	48127	48127	47137	46946	"study"
"SRR8206229_1"	49043	49025	49025	49025	48378	48056	"study"
"SRR8206230_1"	46451	46441	46441	46441	45751	45628	"study"
"SRR8206231_1"	46962	46952	46952	46952	46433	46316	"study"
"SRR8206232_1"	47483	47474	47474	47474	46808	46683	"study"
"SRR8206233_1"	52914	52898	52898	52898	52052	51892	"study"
"SRR8206234_1"	53343	53329	53329	53329	52469	52264	"study"
"SRR8206235_1"	43180	43166	43166	43166	42647	42606	"study"
"SRR8206236_1"	51817	51802	51802	51802	51120	51044	"study"
"SRR8206237_1"	44068	44055	44055	44055	43419	43336	"study"
"SRR8206238_1"	41754	41744	41744	41744	41165	41076	"study"
"SRR8206239_1"	51438	51424	51424	51424	50676	50469	"study"
"SRR8206240_1"	41269	41261	41261	41261	40744	40557	"study"
"SRR8206241_1"	50427	50411	50411	50411	49776	49671	"study"
"SRR8206242_1"	42160	42144	42144	42144	41626	41367	"study"
"SRR8206243_1"	54166	54153	54153	54153	53218	53066	"study"
"SRR8206244_1"	45961	45946	45946	45946	45191	45032	"study"
"SRR8206245_1"	48291	48279	48279	48279	47611	47469	"study"
"SRR8206246_1"	37352	37344	37344	37344	36785	36689	"study"
"SRR8206247_1"	46249	46238	46238	46238	45850	45583	"study"
"SRR8206248_1"	65128	65120	65120	65120	64299	63791	"study"
"SRR8206249_1"	52292	52284	52284	52284	51721	51351	"study"
"SRR8206250_1"	37475	37468	37468	37468	37189	36916	"study"
"SRR8206251_1"	41013	41002	41002	41002	40374	40299	"study"
"SRR8206252_1"	44185	44162	44162	44162	43409	43310	"study"
"SRR8206253_1"	58068	58056	58056	58056	57395	56607	"study"
"SRR8206254_1"	47028	47024	47024	47024	46459	46169	"study"
"SRR8206255_1"	42365	42356	42356	42356	41878	41718	"study"
"SRR8206256_1"	51533	51520	51520	51520	51042	50857	"study"
"SRR8206257_1"	42112	42103	42103	42103	41272	41173	"study"
"SRR8206258_1"	43797	43785	43785	43785	43076	42988	"study"
"SRR8206259_1"	40427	40420	40420	40420	39763	39605	"study"
"SRR8206260_1"	43027	43019	43019	43019	42631	42531	"study"
"SRR8206261_1"	37223	37209	37209	37209	36724	36626	"study"
"SRR8206262_1"	42237	42229	42229	42229	41530	41370	"study"
"SRR8206263_1"	32112	32105	32105	32105	31610	31402	"study"
"SRR8206264_1"	38995	38982	38982	38982	38521	38447	"study"
"SRR8206265_1"	41029	41020	41020	41020	40511	40412	"study"
"SRR8206266_1"	43009	43001	43001	43001	42438	42357	"study"
"SRR8206267_1"	53177	53157	53157	53157	52331	52161	"study"
"SRR8206268_1"	44545	44528	44528	44528	43928	43264	"study"
"SRR8206269_1"	54860	54834	54834	54834	54212	53728	"study"
"SRR8206270_1"	48696	48680	48680	48680	47901	47594	"study"
"SRR8206271_1"	53452	53444	53444	53444	52940	52533	"study"
"SRR8206272_1"	44220	44201	44201	44201	43656	43115	"study"
"SRR8206273_1"	48634	48618	48618	48618	48056	47415	"study"
"SRR8206274_1"	44277	44267	44267	44267	43816	43442	"study"
"SRR8206275_1"	53314	53300	53300	53300	52513	52218	"study"
"SRR8206276_1"	49004	48981	48981	48981	48362	48086	"study"
"SRR8206277_1"	45436	45425	45425	45425	44820	44607	"study"
"SRR8206278_1"	73320	73303	73303	73303	72211	71901	"study"
"SRR8206279_1"	44302	44280	44280	44280	43735	43616	"study"
"SRR8206280_1"	72635	72615	72615	72615	71406	71269	"study"
"SRR8206281_1"	36675	36662	36662	36662	36233	36117	"study"
"SRR8206282_1"	32505	32492	32492	32492	32066	31985	"study"
"SRR8206283_1"	37683	37674	37674	37674	37236	37157	"study"
"SRR8206284_1"	35497	35487	35487	35487	34926	34873	"study"
