"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"BC1d3_1"	100432	100413	100413	100413	95356	94300	"Li"
"BC1d3_2"	100688	100676	100676	100676	94105	92148	"Li"
"BC1d3_3"	119568	119546	119546	119546	112570	110851	"Li"
"BC30d9_1"	39514	39506	39506	39506	38311	36875	"Li"
"BC30d9_2"	114897	114880	114880	114880	109403	104922	"Li"
"BC30d9_3"	103688	103668	103668	103668	98606	96877	"Li"
"BC7d6_1"	40099	40090	40090	40090	38051	37743	"Li"
"BC7d6_2"	27509	27507	27507	27507	26261	26138	"Li"
"BC7d6_3"	28164	28152	28152	28152	26818	26679	"Li"
"CK1d1_1"	48654	48646	48646	48646	45921	45682	"Li"
"CK1d1_2"	84352	84339	84339	84339	79966	79161	"Li"
"CK1d1_3"	22820	22817	22817	22817	22005	21888	"Li"
"CK30d7_1"	99011	98993	98993	98993	94433	90467	"Li"
"CK30d7_2"	28034	28029	28029	28029	27209	26105	"Li"
"CK30d7_3"	72359	72352	72352	72352	69425	66488	"Li"
"CK7d4_1"	8444	8444	8444	8444	7948	7812	"Li"
"CK7d4_2"	130511	130495	130495	130495	121544	118536	"Li"
"CK7d4_3"	32181	32177	32177	32177	30787	30059	"Li"
"MB1d2_1"	75541	75534	75534	75534	71723	70253	"Li"
"MB1d2_2"	38229	38224	38224	38224	36988	36522	"Li"
"MB1d2_3"	103716	103706	103706	103706	98213	97088	"Li"
"MB30d8_1"	56225	56216	56216	56216	54414	52187	"Li"
"MB30d8_2"	114752	114731	114731	114731	109327	106471	"Li"
"MB30d8_3"	84665	84654	84654	84654	81785	78445	"Li"
"MB7d5_1"	139594	139570	139570	139570	129999	127579	"Li"
"MB7d5_2"	22264	22260	22260	22260	20549	20439	"Li"
"MB7d5_3"	72367	72358	72358	72358	68034	67548	"Li"
