"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR8132819_1"	67858	67850	67850	67850	67850	67850	"study"
"SRR8132820_1"	101045	101039	101039	101039	101039	101039	"study"
"SRR8132821_1"	82658	82654	82654	82654	82287	82287	"study"
"SRR8132822_1"	96875	96870	96870	96870	96817	96817	"study"
"SRR8132823_1"	76899	76894	76894	76894	76874	76874	"study"
"SRR8132824_1"	85097	85093	85093	85093	85045	85045	"study"
"SRR8132825_1"	51480	51419	51419	51419	51207	51207	"study"
"SRR8132826_1"	104108	104096	104096	104096	104012	103951	"study"
"SRR8132827_1"	65941	65936	65936	65936	65936	65687	"study"
"SRR8132828_1"	97778	97770	97770	97770	97770	97770	"study"
"SRR8132829_1"	86851	86840	86840	86840	86840	86840	"study"
"SRR8132830_1"	87219	87209	87209	87209	87156	87156	"study"
"SRR8132831_1"	71135	71128	71128	71128	71128	71128	"study"
"SRR8132832_1"	82676	82672	82672	82672	82543	82509	"study"
"SRR8132833_1"	92615	92606	92606	92606	92606	92594	"study"
"SRR8132834_1"	97127	97120	97120	97120	97120	97120	"study"
"SRR8132835_1"	92527	92508	92508	92508	92448	92444	"study"
"SRR8132836_1"	97679	97670	97670	97670	97670	97670	"study"
