"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR6997479"	33422	31679	31679	31679	31451	31451	"Mateos"
"SRR6997480"	24536	24022	24022	24022	23960	23960	"Mateos"
"SRR6997481"	40152	38066	38066	38066	37509	37509	"Mateos"
"SRR6997482"	33794	32795	32795	32795	32130	32130	"Mateos"
"SRR6997483"	29968	29276	29276	29276	28886	28886	"Mateos"
"SRR6997484"	27800	27095	27095	27095	26479	26479	"Mateos"
"SRR6997485"	27967	26930	26930	26930	26566	26564	"Mateos"
"SRR6997486"	33260	32264	32264	32264	31586	31586	"Mateos"
"SRR6997487"	30721	30082	30082	30082	29349	29349	"Mateos"
"SRR6997488"	34353	33172	33172	33172	31558	31558	"Mateos"
"SRR6997489"	29851	29266	29266	29266	28703	28703	"Mateos"
"SRR6997490"	33598	32180	32180	32180	31336	31325	"Mateos"
"SRR6997491"	29891	28869	28869	28869	27981	27981	"Mateos"
"SRR6997492"	37774	36673	36673	36673	35769	35769	"Mateos"
"SRR6997493"	27350	26707	26707	26707	26327	26327	"Mateos"
"SRR6997494"	33954	33045	33045	33045	31821	31821	"Mateos"
"SRR6997495"	27708	25544	25544	25544	25305	25305	"Mateos"
"SRR6997496"	25203	24498	24498	24498	24125	24125	"Mateos"
"SRR6997497"	27699	26966	26966	26966	25994	25994	"Mateos"
"SRR6997498"	25812	25246	25246	25246	25044	25044	"Mateos"
"SRR6997499"	29379	27838	27838	27838	26807	26807	"Mateos"
"SRR6997500"	22085	21036	21036	21036	20338	20338	"Mateos"
"SRR6997501"	27435	26851	26851	26851	26604	26604	"Mateos"
"SRR6997502"	32305	31620	31620	31620	30760	30760	"Mateos"
"SRR6997503"	30992	30158	30158	30158	29529	29529	"Mateos"
"SRR6997504"	27124	26477	26477	26477	25937	25937	"Mateos"
"SRR6997506"	31776	31027	31027	31027	30812	30812	"Mateos"
"SRR6997507"	31772	30834	30834	30834	30095	30095	"Mateos"
"SRR6997508"	29559	28799	28799	28799	28331	28331	"Mateos"
"SRR6997509"	21636	21047	21047	21047	20626	20626	"Mateos"
"SRR6997510"	27519	25600	25600	25600	25182	25182	"Mateos"
"SRR6997511"	21121	20763	20763	20763	20548	20548	"Mateos"
"SRR6997512"	35860	24943	24943	24943	24674	24674	"Mateos"
"SRR6997513"	24182	23644	23644	23644	23221	23221	"Mateos"
"SRR6997514"	26867	25595	25595	25595	25359	25359	"Mateos"
"SRR6997515"	23517	22883	22883	22883	22842	22842	"Mateos"
"SRR6997516"	31418	29917	29917	29917	27524	27521	"Mateos"
"SRR6997517"	23787	23230	23230	23230	23031	23031	"Mateos"
"SRR6997518"	27790	26520	26520	26520	26015	26015	"Mateos"
"SRR6997519"	35122	33945	33945	33945	32525	32518	"Mateos"
"SRR6997520"	30435	29834	29834	29834	28887	28887	"Mateos"
"SRR6997521"	35188	31421	31421	31421	31059	31059	"Mateos"
"SRR6997522"	32884	32045	32045	32045	31391	31391	"Mateos"
"SRR6997523"	31338	30217	30217	30217	29787	29787	"Mateos"
"SRR6997524"	35720	31789	31789	31789	31346	31346	"Mateos"
"SRR6997525"	35380	34532	34532	34532	33884	33884	"Mateos"
"SRR6997526"	31596	30578	30578	30578	30229	30229	"Mateos"
"SRR6997527"	36008	34793	34793	34793	34529	34529	"Mateos"
"SRR6997528"	31531	30479	30479	30479	30075	30075	"Mateos"
"SRR6997529"	30345	29737	29737	29737	28167	28167	"Mateos"
"SRR6997530"	35193	33488	33488	33488	32236	32236	"Mateos"
"SRR6997531"	30148	29622	29622	29622	29052	29052	"Mateos"
"SRR6997532"	33366	32118	32118	32118	31792	31792	"Mateos"
"SRR6997533"	30434	29016	29016	29016	27374	27374	"Mateos"
"SRR6997534"	24048	23477	23477	23477	23188	23188	"Mateos"
"SRR6997535"	32914	32017	32017	32017	31706	31706	"Mateos"
"SRR6997536"	31382	30798	30798	30798	30114	30114	"Mateos"
"SRR6997537"	30936	30217	30217	30217	29639	29639	"Mateos"
"SRR6997538"	31626	30662	30662	30662	30132	30132	"Mateos"
