"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"WAO-T0C1_S112_L001_R1_001"	47350	45793	45793	45793	44160	40804	"Overholt"
"WAO-T0C2_S113_L001_R1_001"	44092	42513	42513	42513	41206	38653	"Overholt"
"WAO-T0C3_S114_L001_R1_001"	54868	52418	52418	52418	50504	48343	"Overholt"
"WAO-T0O1_S109_L001_R1_001"	47402	45375	45375	45375	43859	40348	"Overholt"
"WAO-T0O2_S110_L001_R1_001"	41024	39554	39554	39554	38801	35442	"Overholt"
"WAO-T0O3_S111_L001_R1_001"	45769	43949	43949	43949	42712	39509	"Overholt"
"WAO-T0_S139_L001_R1_001"	106388	102464	102464	102464	97134	89432	"Overholt"
"WAO-T222C1_S136_L001_R1_001"	44756	42809	42809	42809	37180	14932	"Overholt"
"WAO-T222C2_S137_L001_R1_001"	57992	55231	55231	55231	47028	28698	"Overholt"
"WAO-T222C3_S138_L001_R1_001"	41975	39982	39982	39982	31938	10398	"Overholt"
"WAO-T222-o1cr_S141_L001_R1_001"	53356	51173	51173	51173	47421	26953	"Overholt"
"WAO-T222O1_S133_L001_R1_001"	51093	48830	48830	48830	40092	19246	"Overholt"
"WAO-T222-o2cr_S142_L001_R1_001"	45651	43759	43759	43759	38435	15453	"Overholt"
"WAO-T222O2_S134_L001_R1_001"	42252	40472	40472	40472	34477	16537	"Overholt"
"WAO-T222-o3cr_S143_L001_R1_001"	43016	41140	41140	41140	36772	12443	"Overholt"
"WAO-T222O3_S135_L001_R1_001"	44015	41920	41920	41920	32363	14918	"Overholt"
"WAO-T29C1_S124_L001_R1_001"	27645	26407	26407	26407	26116	16819	"Overholt"
"WAO-T29C2_S125_L001_R1_001"	28865	27586	27586	27586	26298	16362	"Overholt"
"WAO-T29C3_S126_L001_R1_001"	31355	30056	30056	30056	29338	19576	"Overholt"
"WAO-T29O1_S121_L001_R1_001"	33955	32738	32738	32738	32272	21665	"Overholt"
"WAO-T29O2_S122_L001_R1_001"	28363	27222	27222	27222	26787	17307	"Overholt"
"WAO-T29O3_S123_L001_R1_001"	32606	31483	31483	31483	30694	22373	"Overholt"
"WAO-T6C1_S118_L001_R1_001"	30780	29659	29659	29659	29011	23009	"Overholt"
"WAO-T6C2_S119_L001_R1_001"	35522	34094	34094	34094	32810	25966	"Overholt"
"WAO-T6C3_S120_L001_R1_001"	33830	32486	32486	32486	31418	24594	"Overholt"
"WAO-T6O1_S115_L001_R1_001"	42155	40722	40722	40722	39632	36788	"Overholt"
"WAO-T6O2_S116_L001_R1_001"	31730	30562	30562	30562	29756	27507	"Overholt"
"WAO-T6O3_S117_L001_R1_001"	46536	44591	44591	44591	43311	39454	"Overholt"
"WAO-T74C1_S130_L001_R1_001"	37533	36044	36044	36044	30803	10056	"Overholt"
"WAO-T74C2_S131_L001_R1_001"	44823	42722	42722	42722	33208	10698	"Overholt"
"WAO-T74C3_S132_L001_R1_001"	45945	43854	43854	43854	39750	14979	"Overholt"
"WAO-T74-o1cr_S140_L001_R1_001"	78095	75246	75246	75246	65989	53088	"Overholt"
"WAO-T74O1_S127_L001_R1_001"	47592	45581	45581	45581	41467	22421	"Overholt"
"WAO-T74O2_S128_L001_R1_001"	53161	51166	51166	51166	45517	30527	"Overholt"
"WAO-T74O3_S129_L001_R1_001"	52381	50246	50246	50246	41125	22485	"Overholt"
