"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"DRR070527"	70166	67697	67697	67697	66510	64749	"Qian"
"DRR070528"	73058	70739	70739	70739	69398	68016	"Qian"
"DRR070529"	34232	33939	33939	33939	33397	32687	"Qian"
"DRR070530"	30997	30664	30664	30664	29940	29546	"Qian"
"DRR070531"	31273	30896	30896	30896	30512	29836	"Qian"
"DRR070532"	33647	33306	33306	33306	32582	32302	"Qian"
"DRR070533"	32566	32176	32176	32176	31840	31325	"Qian"
"DRR070534"	34217	33795	33795	33795	33465	33013	"Qian"
"DRR070535"	33862	33575	33575	33575	33192	32938	"Qian"
"DRR070536"	68842	66476	66476	66476	65468	64526	"Qian"
"DRR070537"	34324	34070	34070	34070	33655	33395	"Qian"
"DRR070538"	34528	34202	34202	34202	33825	33356	"Qian"
"DRR070539"	32528	32212	32212	32212	31582	31398	"Qian"
"DRR070540"	78328	75974	75974	75974	74326	73634	"Qian"
"DRR070541"	76903	74750	74750	74750	72616	72177	"Qian"
"DRR070542"	30657	30386	30386	30386	29941	29714	"Qian"
"DRR070543"	62825	62353	62353	62353	60836	60175	"Qian"
"DRR070544"	72949	70569	70569	70569	69354	68207	"Qian"
"DRR070545"	33862	33610	33610	33610	33037	32742	"Qian"
"DRR070546"	31547	31277	31277	31277	30796	30519	"Qian"
"DRR070547"	74072	72005	72005	72005	70605	70043	"Qian"
"DRR070548"	32575	32248	32248	32248	31876	31636	"Qian"
"DRR070549"	83875	82780	82780	82780	81856	81583	"Qian"
"DRR070550"	71856	69776	69776	69776	68770	68012	"Qian"
"DRR070551"	30538	30274	30274	30274	29954	29623	"Qian"
"DRR070552"	68057	65582	65582	65582	64667	63573	"Qian"
"DRR070553"	33466	33190	33190	33190	32866	32496	"Qian"
"DRR070554"	31718	31395	31395	31395	31018	30442	"Qian"
"DRR070555"	34193	33844	33844	33844	33563	32906	"Qian"
"DRR070556"	35693	35339	35339	35339	35035	34492	"Qian"
"DRR070557"	70898	68544	68544	68544	67973	66365	"Qian"
"DRR070558"	35416	34941	34941	34941	34789	34123	"Qian"
