"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"ERR2503184_1"	43682	37330	37330	37330	37330	37330	"study"
"ERR2503185_1"	47951	41523	41523	41523	41486	41486	"study"
"ERR2503186_1"	9820	5390	5390	5390	5390	5390	"study"
"ERR2503187_1"	53183	45000	45000	45000	44163	44163	"study"
"ERR2503188_1"	27327	17111	17111	17111	17111	17111	"study"
"ERR2503189_1"	2913	1634	1634	1634	1634	1634	"study"
"ERR2503190_1"	7246	2205	2205	2205	2205	2205	"study"
"ERR2503191_1"	96902	84248	84248	84248	83845	83758	"study"
"ERR2503192_1"	70063	60284	60284	60284	60033	60033	"study"
"ERR2503193_1"	4680	1299	1299	1299	1299	1299	"study"
"ERR2503194_1"	11732	1082	1082	1082	1082	1082	"study"
"ERR2503195_1"	38444	31569	31569	31569	31308	31308	"study"
"ERR2503196_1"	7978	1164	1164	1164	1164	1164	"study"
"ERR2503197_1"	4366	2158	2158	2158	2158	2158	"study"
"ERR2503198_1"	40853	36440	36440	36440	35684	35684	"study"
"ERR2503199_1"	31832	26900	26900	26900	26900	26855	"study"
"ERR2503200_1"	45386	39398	39398	39398	39334	39316	"study"
"ERR2503201_1"	50984	43670	43670	43670	43185	43185	"study"
"ERR2503202_1"	45640	41014	41014	41014	40404	40404	"study"
"ERR2503203_1"	38296	34739	34739	34739	34481	34481	"study"
"ERR2503204_1"	39871	36046	36046	36046	35030	35030	"study"
"ERR2503205_1"	39318	34253	34253	34253	33548	33548	"study"
"ERR2503206_1"	32810	30047	30047	30047	28691	28691	"study"
"ERR2503207_1"	31218	27767	27767	27767	27591	27591	"study"
