"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR2044320_1"	14896	14895	14895	14895	14895	14895	"Seekatz"
"SRR2044321_1"	21586	21586	21586	21586	21586	21586	"Seekatz"
"SRR2044322_1"	20832	20831	20831	20831	20831	20831	"Seekatz"
"SRR2044323_1"	18888	18887	18887	18887	18887	18887	"Seekatz"
"SRR2044324_1"	42257	42256	42256	42256	42201	42201	"Seekatz"
"SRR2044325_1"	42360	42355	42355	42355	42345	42345	"Seekatz"
"SRR2044326_1"	33842	33838	33838	33838	33813	33813	"Seekatz"
"SRR2044327_1"	43044	43042	43042	43042	42979	42979	"Seekatz"
"SRR2044328_1"	34455	34453	34453	34453	34391	34391	"Seekatz"
"SRR2044329_1"	60603	60595	60595	60595	60497	60497	"Seekatz"
"SRR2044330_1"	42461	42457	42457	42457	42430	42430	"Seekatz"
"SRR2044331_1"	30274	30273	30273	30273	30247	30247	"Seekatz"
"SRR2044332_1"	71092	71089	71089	71089	70965	70965	"Seekatz"
"SRR2044333_1"	62552	62545	62545	62545	62344	62344	"Seekatz"
"SRR2044334_1"	34414	34413	34413	34413	34296	34296	"Seekatz"
"SRR2044335_1"	25245	25244	25244	25244	25244	25244	"Seekatz"
"SRR2044336_1"	30632	30631	30631	30631	30597	30597	"Seekatz"
"SRR2044337_1"	32972	32969	32969	32969	32879	32879	"Seekatz"
"SRR2044338_1"	29001	28999	28999	28999	28999	28999	"Seekatz"
"SRR2044339_1"	70016	70013	70013	70013	69773	69773	"Seekatz"
"SRR2044340_1"	48128	48123	48123	48123	48065	48065	"Seekatz"
"SRR2044341_1"	30394	30391	30391	30391	30391	30391	"Seekatz"
"SRR2044342_1"	56116	56114	56114	56114	55978	55978	"Seekatz"
"SRR2044343_1"	61843	61839	61839	61839	61782	61782	"Seekatz"
"SRR2044344_1"	34641	34640	34640	34640	34554	34551	"Seekatz"
"SRR2044345_1"	24605	24604	24604	24604	24595	24595	"Seekatz"
"SRR2044346_1"	25482	25479	25479	25479	25451	25451	"Seekatz"
"SRR2044347_1"	25530	25527	25527	25527	25423	25423	"Seekatz"
"SRR2044348_1"	62370	62364	62364	62364	62249	62249	"Seekatz"
"SRR2044349_1"	40519	40516	40516	40516	40477	40477	"Seekatz"
"SRR2044350_1"	45063	45061	45061	45061	44994	44994	"Seekatz"
"SRR2044351_1"	41148	41145	41145	41145	41088	41088	"Seekatz"
"SRR2044352_1"	58715	58714	58714	58714	58687	58687	"Seekatz"
"SRR2044353_1"	68990	68983	68983	68983	68872	68872	"Seekatz"
"SRR2044354_1"	34765	34762	34762	34762	34731	34731	"Seekatz"
"SRR2044355_1"	31800	31798	31798	31798	31746	31746	"Seekatz"
"SRR2044356_1"	20457	20455	20455	20455	20398	20398	"Seekatz"
"SRR2044357_1"	52966	52964	52964	52964	52909	52909	"Seekatz"
"SRR2044358_1"	79629	79624	79624	79624	79409	79409	"Seekatz"
"SRR2044359_1"	53889	53885	53885	53885	53849	53849	"Seekatz"
"SRR2044360_1"	35150	35148	35148	35148	35148	35141	"Seekatz"
"SRR2044361_1"	62470	62467	62467	62467	62374	62374	"Seekatz"
"SRR2044362_1"	39723	39721	39721	39721	39615	39615	"Seekatz"
"SRR2044363_1"	34272	34267	34267	34267	34259	34259	"Seekatz"
"SRR2044364_1"	31876	31876	31876	31876	31844	31844	"Seekatz"
"SRR2044365_1"	61616	61613	61613	61613	61532	61532	"Seekatz"
"SRR2044366_1"	55490	55486	55486	55486	55248	55248	"Seekatz"
"SRR2044367_1"	48627	48624	48624	48624	48624	48624	"Seekatz"
"SRR2044368_1"	54112	54107	54107	54107	54008	54008	"Seekatz"
"SRR2044369_1"	61927	61923	61923	61923	61840	61837	"Seekatz"
"SRR2044370_1"	37188	37185	37185	37185	37047	37047	"Seekatz"
"SRR2044371_1"	24397	24394	24394	24394	24394	24394	"Seekatz"
"SRR2044372_1"	23296	23294	23294	23294	23281	23281	"Seekatz"
"SRR2044373_1"	25033	25032	25032	25032	24937	24937	"Seekatz"
"SRR2044374_1"	33643	33643	33643	33643	33487	33487	"Seekatz"
"SRR2044375_1"	34999	34997	34997	34997	34772	34772	"Seekatz"
