"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR2062782_1"	194158	193420	193420	193420	178658	175639	"Vaquer"
"SRR2062784_1"	110703	110287	110287	110287	102588	100718	"Vaquer"
"SRR2062785_1"	146708	145784	145784	145784	133155	128430	"Vaquer"
"SRR2062786_1"	194650	193616	193616	193616	185657	178992	"Vaquer"
"SRR2062787_1"	204394	203689	203689	203689	196087	193552	"Vaquer"
"SRR2062788_1"	229067	227291	227291	227291	214087	202099	"Vaquer"
"SRR2062789_1"	152606	151725	151725	151725	143222	138881	"Vaquer"
"SRR2062790_1"	141817	141233	141233	141233	132688	130313	"Vaquer"
"SRR2062791_1"	178237	177533	177533	177533	166349	162970	"Vaquer"
"SRR2062792_1"	187604	186710	186710	186710	180033	174347	"Vaquer"
"SRR2062793_1"	296899	294738	294738	294738	286112	271822	"Vaquer"
"SRR2062794_1"	202127	200364	200364	200364	187525	175102	"Vaquer"
"SRR2062795_1"	267770	266050	266050	266050	244454	234904	"Vaquer"
"SRR2062796_1"	156884	156376	156376	156376	147282	144837	"Vaquer"
"SRR2062797_1"	168579	167697	167697	167697	159612	155184	"Vaquer"
"SRR2062798_1"	224681	223502	223502	223502	217434	210488	"Vaquer"
"SRR2062799_1"	246594	245607	245607	245607	233827	229473	"Vaquer"
"SRR2062800_1"	223193	222217	222217	222217	198767	194388	"Vaquer"
"SRR2062801_1"	250694	249411	249411	249411	230947	225125	"Vaquer"
"SRR2062802_1"	82586	82299	82299	82299	76261	75061	"Vaquer"
"SRR2062803_1"	99523	99041	99041	99041	92786	90346	"Vaquer"
"SRR2062804_1"	162800	161803	161803	161803	154186	147730	"Vaquer"
"SRR2062805_1"	303960	302822	302822	302822	287345	282701	"Vaquer"
"SRR2062806_1"	203834	202056	202056	202056	190572	179687	"Vaquer"
"SRR2062807_1"	190322	189046	189046	189046	177883	171368	"Vaquer"
"SRR2062808_1"	178685	177892	177892	177892	168111	164363	"Vaquer"
"SRR2062809_1"	174406	173424	173424	173424	162733	158122	"Vaquer"
