"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR3053238_1"	43398	43392	43392	43392	43388	43379	"Venkataraman"
"SRR3053239_1"	26720	26716	26716	26716	26560	26500	"Venkataraman"
"SRR3053240_1"	37404	37397	37397	37397	37318	37304	"Venkataraman"
"SRR3053241_1"	38467	38461	38461	38461	38313	38298	"Venkataraman"
"SRR3053242_1"	44213	44207	44207	44207	44151	44086	"Venkataraman"
"SRR3053243_1"	29483	29481	29481	29481	29466	29422	"Venkataraman"
"SRR3053244_1"	46632	46625	46625	46625	46515	46463	"Venkataraman"
"SRR3053245_1"	42522	42513	42513	42513	42402	42320	"Venkataraman"
"SRR3053246_1"	51846	51840	51840	51840	51442	51425	"Venkataraman"
"SRR3053247_1"	64038	64031	64031	64031	63006	62993	"Venkataraman"
"SRR3053248_1"	27935	27932	27932	27932	27636	27636	"Venkataraman"
"SRR3053249_1"	67938	67935	67935	67935	67582	67580	"Venkataraman"
"SRR3053250_1"	44876	44870	44870	44870	44311	44308	"Venkataraman"
"SRR3053251_1"	42091	42085	42085	42085	42008	42000	"Venkataraman"
"SRR3053252_1"	29866	29865	29865	29865	29808	29805	"Venkataraman"
"SRR3053253_1"	33122	33119	33119	33119	32995	32986	"Venkataraman"
"SRR3053254_1"	37590	37587	37587	37587	37446	37446	"Venkataraman"
"SRR3053255_1"	29549	29547	29547	29547	29290	29290	"Venkataraman"
"SRR3053256_1"	48533	48528	48528	48528	48064	48064	"Venkataraman"
"SRR3053257_1"	50373	50367	50367	50367	50097	50097	"Venkataraman"
"SRR3053258_1"	31694	31688	31688	31688	31672	31672	"Venkataraman"
"SRR3053259_1"	41291	41289	41289	41289	41185	41185	"Venkataraman"
"SRR3053260_1"	21682	21681	21681	21681	21677	21677	"Venkataraman"
"SRR3053261_1"	40831	40829	40829	40829	40558	40555	"Venkataraman"
"SRR3053262_1"	43153	43150	43150	43150	42404	42402	"Venkataraman"
"SRR3053263_1"	59153	59147	59147	59147	58152	58152	"Venkataraman"
"SRR3053264_1"	47742	47738	47738	47738	47019	47019	"Venkataraman"
"SRR3053265_1"	46039	46035	46035	46035	45531	45531	"Venkataraman"
"SRR3053266_1"	46034	46026	46026	46026	45473	45473	"Venkataraman"
"SRR3053267_1"	24900	24895	24895	24895	24524	24524	"Venkataraman"
"SRR3053268_1"	52281	52280	52280	52280	51959	51959	"Venkataraman"
"SRR3053269_1"	45719	45715	45715	45715	44827	44827	"Venkataraman"
"SRR3053270_1"	27604	27603	27603	27603	27000	27000	"Venkataraman"
"SRR3053271_1"	31026	31023	31023	31023	30183	30183	"Venkataraman"
"SRR3053272_1"	16663	16660	16660	16660	16259	16259	"Venkataraman"
"SRR3053273_1"	14852	14852	14852	14852	13753	13753	"Venkataraman"
