"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR6668343_1"	54570	54550	54550	54550	53720	53677	"study"
"SRR6668344_1"	43525	43501	43501	43501	40729	40702	"study"
"SRR6668345_1"	36919	36897	36897	36897	36132	36114	"study"
"SRR6668346_1"	34542	34540	34540	34540	33743	33737	"study"
"SRR6668347_1"	45024	45013	45013	45013	44330	44318	"study"
"SRR6668348_1"	44669	44661	44661	44661	44465	44421	"study"
"SRR6668349_1"	46390	46382	46382	46382	45991	45960	"study"
"SRR6668350_1"	34084	34071	34071	34071	33372	33362	"study"
"SRR6668351_1"	31769	31753	31753	31753	31401	31364	"study"
"SRR6668352_1"	31861	31857	31857	31857	31399	31378	"study"
"SRR6668353_1"	40365	40342	40342	40342	39991	39955	"study"
"SRR6668354_1"	51166	51143	51143	51143	48706	48681	"study"
"SRR6668355_1"	54618	54606	54606	54606	53912	53910	"study"
"SRR6668356_1"	59469	59456	59456	59456	58752	58742	"study"
"SRR6668357_1"	40254	40242	40242	40242	39857	39817	"study"
"SRR6668358_1"	43779	43762	43762	43762	43359	43346	"study"
"SRR6668359_1"	29709	29698	29698	29698	29170	29162	"study"
"SRR6668360_1"	32398	32383	32383	32383	31688	31661	"study"
"SRR6668361_1"	48115	48099	48099	48099	47428	47420	"study"
"SRR6668362_1"	38806	38804	38804	38804	38540	38506	"study"
"SRR6668363_1"	44358	44349	44349	44349	44225	44214	"study"
"SRR6668364_1"	24691	24681	24681	24681	22673	22659	"study"
"SRR6668365_1"	55138	55123	55123	55123	54606	54597	"study"
"SRR6668366_1"	36136	36128	36128	36128	35754	35745	"study"
"SRR6668367_1"	56832	56806	56806	56806	55502	55476	"study"
"SRR6668368_1"	49174	49136	49136	49136	48717	48693	"study"
"SRR6668369_1"	53606	53580	53580	53580	51430	51376	"study"
"SRR6668370_1"	34015	34004	34004	34004	33496	33480	"study"
"SRR6668371_1"	38574	38558	38558	38558	37959	37931	"study"
"SRR6668372_1"	38147	38134	38134	38134	37461	37440	"study"
"SRR6668373_1"	59456	59438	59438	59438	58657	58639	"study"
"SRR6668374_1"	48432	48416	48416	48416	46384	46384	"study"
"SRR6668375_1"	34441	34428	34428	34428	34082	34048	"study"
"SRR6668376_1"	47376	47365	47365	47365	47114	47085	"study"
"SRR6668377_1"	51016	50982	50982	50982	49700	49677	"study"
"SRR6668378_1"	39097	39078	39078	39078	37902	37892	"study"
"SRR6668379_1"	46350	46320	46320	46320	46107	46071	"study"
"SRR6668380_1"	40142	40112	40112	40112	39707	39679	"study"
"SRR6668381_1"	29754	29742	29742	29742	28919	28723	"study"
"SRR6668382_1"	33072	33048	33048	33048	32431	32402	"study"
"SRR6668383_1"	44762	44746	44746	44746	43997	43969	"study"
"SRR6668384_1"	38690	38676	38676	38676	35915	35872	"study"
"SRR6668385_1"	45601	45573	45573	45573	45172	45139	"study"
"SRR6668386_1"	42961	42937	42937	42937	42326	42315	"study"
"SRR6668387_1"	35796	35783	35783	35783	34940	34918	"study"
"SRR6668388_1"	45677	45648	45648	45648	43080	43063	"study"
"SRR6668389_1"	41898	41890	41890	41890	40829	40827	"study"
"SRR6668390_1"	46151	46138	46138	46138	41772	41764	"study"
"SRR6668391_1"	48608	48595	48595	48595	48064	48037	"study"
"SRR6668392_1"	41897	41888	41888	41888	40691	40668	"study"
"SRR6668393_1"	63182	63165	63165	63165	62122	62096	"study"
"SRR6668394_1"	51340	51320	51320	51320	49091	49023	"study"
"SRR6668395_1"	42648	42628	42628	42628	41852	41831	"study"
"SRR6668396_1"	41436	41431	41431	41431	40054	40044	"study"
"SRR6668397_1"	51762	51745	51745	51745	50923	50909	"study"
"SRR6668398_1"	43031	43016	43016	43016	42583	42542	"study"
"SRR6668399_1"	47961	47944	47944	47944	47064	47024	"study"
"SRR6668400_1"	210	210	210	210	210	210	"study"
"SRR6668401_1"	43224	43211	43211	43211	42284	42269	"study"
"SRR6668402_1"	49949	49915	49915	49915	48557	48531	"study"
"SRR6668403_1"	40558	40541	40541	40541	39613	39590	"study"
"SRR6668404_1"	43685	43678	43678	43678	43219	43180	"study"
"SRR6668405_1"	38528	38511	38511	38511	37566	37543	"study"
"SRR6668406_1"	29942	29938	29938	29938	29626	29605	"study"
"SRR6668407_1"	44337	44324	44324	44324	43158	43127	"study"
"SRR6668408_1"	35641	35631	35631	35631	33093	33063	"study"
"SRR6668409_1"	44757	44744	44744	44744	43802	43796	"study"
"SRR6668410_1"	58540	58519	58519	58519	57723	57721	"study"
"SRR6668411_1"	43532	43520	43520	43520	43337	43337	"study"
