"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR2094557_1"	22009	21882	21882	21882	20945	20884	"study"
"SRR2094646_1"	30873	30758	30758	30758	29255	29195	"study"
"SRR2094647_1"	38355	38189	38189	38189	36547	36475	"study"
"SRR2094650_1"	26516	26401	26401	26401	25750	25662	"study"
"SRR2094657_1"	26839	26697	26697	26697	26010	25928	"study"
"SRR2096230_1"	26337	26248	26248	26248	25707	25627	"study"
"SRR2096231_1"	22742	22536	22536	22536	22067	22000	"study"
"SRR2096256_1"	27782	27665	27665	27665	26984	26951	"study"
"SRR2096603_1"	42622	42404	42404	42404	40474	40406	"study"
"SRR2096610_1"	26705	26544	26544	26544	25217	25147	"study"
"SRR2096616_1"	18967	18877	18877	18877	18389	18349	"study"
"SRR2096622_1"	21382	21294	21294	21294	20909	20872	"study"
"SRR2096624_1"	27037	26883	26883	26883	26476	26350	"study"
"SRR2096635_1"	26358	26221	26221	26221	25795	25706	"study"
"SRR2096639_1"	24735	24594	24594	24594	24303	24219	"study"
"SRR2096640_1"	32615	32457	32457	32457	31013	30943	"study"
"SRR2096641_1"	25153	24994	24994	24994	24481	24419	"study"
"SRR2096642_1"	37760	37484	37484	37484	36233	36155	"study"
"SRR2096643_1"	28193	28033	28033	28033	27037	26957	"study"
"SRR2096657_1"	29974	29801	29801	29801	28206	28111	"study"
"SRR2096658_1"	35736	35501	35501	35501	34097	34005	"study"
"SRR2096659_1"	31001	30829	30829	30829	29928	29848	"study"
"SRR2096660_1"	24810	24674	24674	24674	24008	23947	"study"
"SRR2096673_1"	27330	27001	27001	27001	26455	26397	"study"
"SRR2096674_1"	30757	30575	30575	30575	29018	28917	"study"
"SRR2096675_1"	41893	41638	41638	41638	39805	39627	"study"
"SRR2096676_1"	34147	33931	33931	33931	32851	32753	"study"
