"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR6312422_1"	60785	60568	60568	60568	57659	57659	"Yan"
"SRR6312423_1"	65386	65088	65088	65088	63250	63248	"Yan"
"SRR6312424_1"	60421	60154	60154	60154	58126	58126	"Yan"
"SRR6312425_1"	66755	66492	66492	66492	64604	64604	"Yan"
"SRR6312426_1"	66370	66112	66112	66112	64272	64272	"Yan"
"SRR6312427_1"	70000	69674	69674	69674	67285	67282	"Yan"
"SRR6312428_1"	64523	64155	64155	64155	61916	61916	"Yan"
"SRR6312429_1"	69133	68796	68796	68796	67281	67281	"Yan"
"SRR6312430_1"	70878	70413	70413	70413	68170	68170	"Yan"
"SRR6312431_1"	65338	64966	64966	64966	63682	63682	"Yan"
"SRR6312432_1"	929	912	912	912	912	912	"Yan"
"SRR6312433_1"	26358	26265	26265	26265	26265	26057	"Yan"
"SRR6312434_1"	19276	16498	16498	16498	16498	607	"Yan"
"SRR6312435_1"	37696	37400	37400	37400	37337	36485	"Yan"
"SRR6312436_1"	256	246	246	246	246	246	"Yan"
"SRR6312437_1"	475	450	450	450	450	450	"Yan"
"SRR6312438_1"	1140	1093	1093	1093	1093	1093	"Yan"
"SRR6312439_1"	1285	1275	1275	1275	1275	1275	"Yan"
"SRR6312440_1"	413	392	392	392	392	392	"Yan"
"SRR6312441_1"	7719	7608	7608	7608	7608	6992	"Yan"
"SRR6312442_1"	61621	61304	61304	61304	59630	59630	"Yan"
"SRR6312443_1"	57276	56962	56962	56962	55598	55596	"Yan"
"SRR6312444_1"	54937	54695	54695	54695	53224	53224	"Yan"
"SRR6312445_1"	64010	63686	63686	63686	61698	61698	"Yan"
"SRR6312446_1"	68378	68010	68010	68010	65360	65358	"Yan"
"SRR6312447_1"	59588	59329	59329	59329	56440	56440	"Yan"
"SRR6312448_1"	57061	56840	56840	56840	55365	55365	"Yan"
"SRR6312449_1"	62979	62673	62673	62673	61046	61046	"Yan"
"SRR6312450_1"	61748	61464	61464	61464	59316	59316	"Yan"
"SRR6312451_1"	65778	65497	65497	65497	63671	63671	"Yan"
"SRR6312452_1"	69669	69444	69444	69444	67189	67184	"Yan"
"SRR6312453_1"	73067	72872	72872	72872	71196	71191	"Yan"
"SRR6312454_1"	76599	76230	76230	76230	73629	73622	"Yan"
"SRR6312455_1"	70763	70395	70395	70395	67562	67559	"Yan"
"SRR6312456_1"	68428	68008	68008	68008	65903	65903	"Yan"
"SRR6312457_1"	64791	64482	64482	64482	62214	62212	"Yan"
"SRR6312458_1"	63092	62929	62929	62929	61375	61375	"Yan"
"SRR6312459_1"	67358	67179	67179	67179	65066	65066	"Yan"
"SRR6312460_1"	69167	68958	68958	68958	65210	65210	"Yan"
"SRR6312461_1"	76777	76575	76575	76575	71745	71745	"Yan"
"SRR6312462_1"	65936	65607	65607	65607	63313	63308	"Yan"
"SRR6312463_1"	64685	64327	64327	64327	62337	62332	"Yan"
"SRR6312464_1"	59018	58677	58677	58677	56971	56966	"Yan"
"SRR6312465_1"	67672	67335	67335	67335	64518	64518	"Yan"
"SRR6312466_1"	69299	68878	68878	68878	66404	66402	"Yan"
"SRR6312467_1"	220807	220062	220062	220062	206318	205270	"Yan"
"SRR6312468_1"	216775	216193	216193	216193	202773	202138	"Yan"
"SRR6312469_1"	209240	208604	208604	208604	193752	193249	"Yan"
"SRR6312470_1"	252970	252229	252229	252229	235695	234993	"Yan"
"SRR6312471_1"	72414	72211	72211	72211	69989	69983	"Yan"
"SRR6312472_1"	73163	72972	72972	72972	70683	70677	"Yan"
"SRR6312473_1"	61661	60993	60993	60993	59658	59658	"Yan"
"SRR6312474_1"	66461	65766	65766	65766	63727	63727	"Yan"
"SRR6312475_1"	49888	49608	49608	49608	46823	46823	"Yan"
"SRR6312476_1"	61363	61045	61045	61045	58214	58214	"Yan"
"SRR6312477_1"	62676	62096	62096	62096	60497	60497	"Yan"
"SRR6312478_1"	63069	62471	62471	62471	60353	60353	"Yan"
"SRR6312479_1"	65071	64668	64668	64668	61902	61902	"Yan"
"SRR6312480_1"	59349	58989	58989	58989	57338	57336	"Yan"
