"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"A01A_S1_L001_R1_001"	30884	30858	30858	30858	30544	30528	"deVries"
"A01B_S97_L001_R1_001"	20633	20622	20622	20622	20530	20530	"deVries"
"A01C_S193_L001_R1_001"	15457	15441	15441	15441	15379	15379	"deVries"
"A01D_S289_L001_R1_001"	26524	26510	26510	26510	26241	26235	"deVries"
"A02A_S2_L001_R1_001"	9883	9877	9877	9877	9853	9853	"deVries"
"A02B_S98_L001_R1_001"	7608	7607	7607	7607	7607	7607	"deVries"
"A02C_S194_L001_R1_001"	14615	14604	14604	14604	14526	14526	"deVries"
"A02D_S290_L001_R1_001"	13462	13459	13459	13459	13435	13435	"deVries"
"A03A_S3_L001_R1_001"	24786	24772	24772	24772	24607	24604	"deVries"
"A03B_S99_L001_R1_001"	13215	13205	13205	13205	13187	13187	"deVries"
"A03C_S195_L001_R1_001"	31503	31481	31481	31481	31227	31222	"deVries"
"A03D_S291_L001_R1_001"	17832	17817	17817	17817	17726	17724	"deVries"
"A04B_S100_L001_R1_001"	3783	3781	3781	3781	3764	3764	"deVries"
"A04C_S196_L001_R1_001"	29293	29271	29271	29271	29058	29050	"deVries"
"A04D_S292_L001_R1_001"	22528	22515	22515	22515	22377	22371	"deVries"
"A05A_S5_L001_R1_001"	18729	18712	18712	18712	18670	18670	"deVries"
"A05B_S101_L001_R1_001"	19357	19345	19345	19345	19247	19242	"deVries"
"A05C_S197_L001_R1_001"	20789	20778	20778	20778	20696	20696	"deVries"
"A05D_S293_L001_R1_001"	18812	18795	18795	18795	18693	18691	"deVries"
"A06A_S6_L001_R1_001"	26616	26607	26607	26607	26509	26509	"deVries"
"A06B_S102_L001_R1_001"	19322	19310	19310	19310	19217	19215	"deVries"
"A06C_S198_L001_R1_001"	26606	26587	26587	26587	26403	26380	"deVries"
"A06D_S294_L001_R1_001"	21333	21313	21313	21313	21238	21236	"deVries"
"A07A_S7_L001_R1_001"	30192	30170	30170	30170	29963	29963	"deVries"
"A07B_S103_L001_R1_001"	21862	21851	21851	21851	21721	21714	"deVries"
"A08A_S8_L001_R1_001"	27093	27079	27079	27079	26838	26834	"deVries"
"A08B_S104_L001_R1_001"	30300	30284	30284	30284	30065	30059	"deVries"
"A08C_S200_L001_R1_001"	18946	18938	18938	18938	18848	18846	"deVries"
"A09C_S201_L001_R1_001"	23129	23118	23118	23118	23034	23034	"deVries"
"A10C_S202_L001_R1_001"	23761	23746	23746	23746	23531	23518	"deVries"
"A11C_S203_L001_R1_001"	19648	19636	19636	19636	19472	19466	"deVries"
"B01A_S13_L001_R1_001"	36752	36720	36720	36720	36339	36335	"deVries"
"B01B_S109_L001_R1_001"	13870	13864	13864	13864	13798	13798	"deVries"
"B01C_S205_L001_R1_001"	12186	12180	12180	12180	12143	12140	"deVries"
"B01D_S301_L001_R1_001"	29479	29459	29459	29459	29199	29196	"deVries"
"B02A_S14_L001_R1_001"	6693	6690	6690	6690	6676	6676	"deVries"
"B02B_S110_L001_R1_001"	5647	5644	5644	5644	5628	5628	"deVries"
"B02C_S206_L001_R1_001"	11956	11947	11947	11947	11921	11921	"deVries"
"B02D_S302_L001_R1_001"	13124	13114	13114	13114	13072	13070	"deVries"
"B03A_S15_L001_R1_001"	5438	5437	5437	5437	5429	5429	"deVries"
"B03B_S111_L001_R1_001"	11874	11865	11865	11865	11843	11839	"deVries"
"B03C_S207_L001_R1_001"	27766	27747	27747	27747	27559	27559	"deVries"
"B03D_S303_L001_R1_001"	18217	18205	18205	18205	18116	18112	"deVries"
"B04B_S112_L001_R1_001"	3013	3011	3011	3011	2999	2999	"deVries"
"B04C_S208_L001_R1_001"	14206	14197	14197	14197	14175	14162	"deVries"
